"n","p","q","tau","B","shape3","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
100,0.215,0.825,329.747446133941,750,1.2034,2.61021204048088,0.853298466726839,1.19009383013515,3.42753949560524,1.25809797173314,619.254753836526,1023.06191445176,473.184380384821,518.308438551949,663.601357567535,0.847556994563203,0.677945474726794,0.90673013724954,0.98564351054288,0.860422968818163,9.29193597212956,1.25043148072606,1.6805043525674,9.19310205291791,2.04829621596249,380.473543116613,509.763413578174,337.487485128257,367.735593767061,410.235452790078,3179.25252957052,2736.73715677198,752.328079825136,1803.28446191466,1718.43464198406,-601.657371161712
100,0.215,0.825,329.747446133941,750,1.2034,1.05412873968941,1.72287896027814,1.18632776464531,1.28093270547579,0.961005579773172,1481.55432866373,538.216852417552,471.792204854073,591.411755151289,961.961003377243,0.52612673728227,0.549331208124311,0.823770134564378,0.939478830608779,0.554606791105229,4.25109496465847,3.59826144780265,1.59120347520442,2.49821411729846,2.41746887966641,441.658199224787,353.686963599127,339.314478073226,375.803311212485,412.845627507304,52877.4225859598,6540.47382960049,1052.28527378841,1310.77997594167,6947.60764957932,-629.912740382326
100,0.215,0.825,329.747446133941,750,1.2034,1.07605220136933,1.06084796141584,1.59256658327489,1.37193427395777,1.3435880421407,941.814645449697,1619.27994580806,352.652291802313,819.9074821163,793.326134679012,0.606605687515287,0.372121690950481,1.11690862429852,0.871054873616353,0.944588481845316,1.54301055011505,1.68138395129922,2.42622655822052,2.29900984723136,3.26906729277131,493.182963955104,651.396033517177,287.028210334124,458.070567702901,419.519532943472,4820.80014435007,91587.7880891418,491.555607198661,3328.0774406945,2450.27056384718,-622.097990829778
100,0.215,0.825,329.747446133941,750,1.2034,2.21446422370796,0.732465786037243,1.21977865578616,1.74392992353399,2.15678095291609,465.627907457333,2927.5992081486,602.435278243284,475.396517897764,560.202959352855,0.851838040659294,0.377842115267666,0.721947715861955,0.820732654183548,1.50028036603842,3.6028530458238,1.48205568603338,2.02865062235353,2.74898966840369,3.39475918071337,352.115679349806,771.562160829433,386.812867131676,352.681529681025,404.111430071385,1074.32745416697,172333.623431653,2201.80216535422,1404.08322079989,1137.80172121386,-624.164929251662
100,0.215,0.825,329.747446133941,750,1.2034,1.14204690101683,0.779546203198222,1.49503194819675,0.828844669417819,1.14686759702873,585.657759900473,2314.05328382003,630.827131027407,2071.21099756275,965.997348706898,0.882847743167724,0.535159413628205,0.713104495149943,0.47821545733653,0.718020444405657,1.64550116147532,4.18043763812318,2.95850810644411,1.64278776705699,3.54679937955772,384.139039712703,669.388660779944,405.609856759961,764.081057313569,442.396794941914,1117.44706235855,30965.3513271339,1920.14255286929,124779.279697234,4780.21759294336,-601.261617537292
100,0.215,0.825,329.747446133941,750,1.2034,0.647205915766112,1.28360162837563,1.71771234894197,0.956809101602441,2.48361647109255,9884.85845153864,809.745257494365,473.465887094361,601.206476885422,569.683147370974,0.415093146783509,0.835577394642303,1.03786459894666,0.741870996258038,0.688941355938956,3.45398003656956,3.58531535679322,3.51431713976849,1.25722021579325,22.4668213105453,605.331732352781,403.629645262286,370.294577384241,405.063747487634,346.724088585883,338031.17171419,3201.26549511753,991.36988505044,1229.50743057109,6422.41343325023,-610.484244840466
100,0.215,0.825,329.747446133941,750,1.2034,1.95573796080516,0.865586309717796,1.27591676398243,1.01586658256025,1.2116823069788,650.236258233486,1019.21009699955,456.657437173885,832.274818856305,921.25476720063,1.27898149819303,0.595529042762313,0.963212754155617,0.65728550205805,0.609858494195695,6.04594815275221,1.20734650208766,1.78139452548602,1.73951379690098,2.23796511050546,407.654703768638,536.002330703042,322.284098081612,449.006777123525,484.41663168217,2181.40320403654,4392.26252976277,792.050227692319,3014.17825194588,6752.6794041946,-606.736051789748
100,0.215,0.825,329.747446133941,750,1.2034,1.17789472212054,1.31830185194347,1.01779538333765,1.02551822733225,0.979827990424502,1289.68023148007,1206.64274791321,446.463187717783,1598.71387361868,1235.90229674227,0.857838490023481,0.595831735324324,0.787512838649256,0.713425421535669,0.554223328102184,1.62655446239814,1.99192750516971,1.3058377080273,1.91217955556626,2.08330340377155,672.183575841995,622.468409717061,315.636444234071,681.699302996033,540.246432480702,4568.03085235297,10110.2750133257,793.354251486824,8730.28868316347,14208.9710268047,-577.702152277713
100,0.215,0.825,329.747446133941,750,1.2034,1.16762025292989,1.00343391076444,1.01203001044655,0.458590130844916,0.896202019931565,1290.69386739058,850.265749267953,453.847422123226,67813.74318452,1430.06774650807,0.649812032164679,0.757966549201754,0.771197411397015,0.343140223265294,0.5318061919718,2.51317562449383,1.38845724215073,1.35330020314966,0.888994727551767,1.78691128093268,552.403297345296,479.622378408651,319.493831489795,6093.03340533354,553.292214595148,13363.2733995311,2409.96725180883,804.773356907495,5676187.11133153,15350.9153490435,-580.935862240798
100,0.215,0.825,329.747446133941,750,1.2034,1.10092404046136,1.5004262496663,1.04218481187013,0.660891371812829,2.41831757575027,1880.79678317013,553.053833958724,770.826313079104,3570.39023285659,462.139769798343,0.462160184695306,0.728139237894827,0.465228168042574,0.335120112433231,0.76685819279087,3.88520862838778,3.02554330959844,1.90559461693431,4.54878586699316,4.32105707725103,469.652218646318,374.036001748887,457.086096162115,454.561126512663,369.516041841613,81033.6572660517,1753.45033748878,6840.026941886,369165.42468042,1277.13796514254,-620.655437863764
100,0.215,0.825,307.984309900317,750,0.75,1.33647572224414,1.41201683076238,0.936591650299146,1.54426424119076,0.936246695102709,1082.64885399484,420.878706577007,294.807201967762,588.43947691183,1154.71019849402,0.386934191417544,0.992842471636474,0.718172428427556,1.14443507415691,0.412329299124765,10.2439249942249,2.16504412519104,1.1400588716419,6.71413496125687,1.7081780428043,355.782602826638,292.731526380465,204.881547205773,340.069225726847,468.620636323703,421287.347089626,863.154275473576,478.210951923289,2851.16373872499,65037.6193990061,-609.209412347414
100,0.215,0.825,307.984309900317,750,0.75,1.5212414892571,1.23354338069208,0.895520556479837,1.15135747960211,2.21539273195958,706.142404942638,923.968115355619,590.804741449049,744.60835286893,549.866340766774,1.06709987614766,0.971089679825723,0.625843350707569,0.730082194666313,1.12796086927503,3.1932242799702,1.83632070615162,1.17937614166954,1.62156009946665,7.26517238277012,411.942973811836,479.961434609091,363.267487050788,437.684181884822,361.884451711754,1810.99337745721,2447.45810459271,1514.61602992417,2304.35706673991,1750.53872899349,-580.729923273022
100,0.215,0.825,307.984309900317,750,0.75,1.87234607930082,1.44476082829007,0.748854865203736,0.751775284953378,1.11099244835328,737.362604530688,566.67588098448,602.113783033818,2025.25131339857,752.538979990473,0.502602274842785,0.63069609246199,0.562196362364117,0.367810961222341,0.777292198536936,18.4178433440858,2.94059888620584,1.02270771573551,1.58758769204114,1.64424012552361,341.552218898957,355.429886687613,368.850304412959,561.904702415469,432.902934430311,5020.5331221692,4762.22785545435,1501.04942909095,200952.690022422,3230.56712358088,-601.548190670543
100,0.215,0.825,307.984309900317,750,0.75,3.30626947417379,1.72414232773851,0.814329969689975,1.68770739895453,0.978567246238169,495.561324444057,697.523957313302,334.07125235948,788.385811272551,1241.78331852969,1.20652173800439,1.18774976385334,0.635780874760718,0.954940008803696,0.652781076928573,16.0942802364895,5.73810932214579,1.07225869111282,6.26101968965847,1.46906663998108,326.579877241415,398.04118869611,224.889614338518,399.578290140751,580.169360865233,1883.6326725651,2662.15611749345,529.140147022515,4336.92713793599,6692.99474693769,-570.711185210546
100,0.215,0.825,307.984309900317,750,0.75,1.0926087221298,0.865712377714206,0.77692276816764,1.1509192247507,4.72116343898015,767.551291432325,1311.32868501779,539.876948345995,798.435374094088,471.939225493176,0.718180716372553,0.538126136397744,0.592386737804294,0.610156068321453,1.1539222535201,1.53900142054489,2.090906646821,1.03346857277158,2.28314571331216,9.45953395025368,416.141498203167,454.840586047683,322.56868162272,445.214649953915,360.610828472222,1952.69195594611,12769.0349075749,1161.14109045126,8628.63725705743,1252.29991282568,-581.101822385206
100,0.215,0.825,307.984309900317,750,0.75,1.23409778881099,1.18717631781806,0.910558122837231,1.51579338611846,1.40596325929032,739.385557231562,656.847291177388,645.455790565488,730.15836309822,985.159838684932,0.779472293780515,0.832896915005431,0.70381206099687,1.0401905687338,0.780980250638793,2.69827671399487,2.29343734054076,1.19941821555477,3.65359451534982,2.78011236211893,428.983306591542,403.581389301291,376.188714832161,423.332430928864,495.680959581485,2274.51759544619,1477.10468829241,1374.5100512491,2101.31456164823,5405.40082703331,-591.051680289643
100,0.215,0.825,307.984309900317,750,0.75,1.00096286339935,1.85290120558303,0.736035760016557,1.24184696369946,1.38833022219667,1270.41740098412,435.922236620745,452.714433441394,817.473851903136,1120.1013033649,0.506726726325762,1.28748266545659,0.5555173427643,0.730253149553129,0.55029487814465,1.76863228042554,2.67415097432878,1.00698284589181,2.7175689693736,4.06895162762788,536.836960399295,316.701910757817,297.307157805606,400.339052839637,445.947756863304,11292.8475752988,868.438678940506,925.407144249818,6368.20356779185,43457.3168972953,-597.86700806741
100,0.215,0.825,307.984309900317,750,0.75,1.38560540010071,2.23075442031722,1.14338316512935,1.08317819443799,1.21002817373502,1158.4073651108,472.231707346994,320.597089366876,1017.49864878581,1218.789353032,0.586160608901365,1.1376294223293,0.892594779093659,0.527278012019149,0.855694923505371,3.46314029912376,3.05354510038796,1.60926502999917,1.95342330427246,2.14169519403639,471.168112916376,351.08857209689,244.986769445691,468.20964542864,578.262734278795,31076.4816350436,1041.87287546574,463.409982946137,17879.3123636968,4563.20343183953,-605.04646512994
100,0.215,0.825,307.984309900317,750,0.75,0.842228894927005,1.3307969004364,0.653634549359441,1.3822966448043,1.6226161717356,1789.36166512421,1231.25013304874,501.196324210959,1026.00820982296,545.650181392364,0.597409559224903,0.916189884260185,0.493370127611723,0.866299706697602,0.994150554443991,1.30651084104669,1.73731090206053,0.819018489952637,3.37580543424523,3.04149428566859,723.321229629636,614.469477263789,291.158345622456,506.475595436168,375.19981519762,14971.5078969209,4844.91591994767,1013.35603758448,6723.41031603818,1295.62691091504,-570.938246247548
100,0.215,0.825,307.984309900317,750,0.75,1.98615987885164,0.763671466817059,0.775248731342632,0.473590372497895,1.57833302818555,683.492476465108,1735.94563254655,509.425646869401,50352.7474287457,673.364301638703,1.36660306399895,0.493487107538086,0.60274011202528,0.321705156927095,0.974427286413814,20.2809218227109,1.5890619428044,1.08732892179499,1.88343397304833,3.47814234941773,342.63911502239,566.030571440227,327.934952564437,1434.79863427081,417.770524625992,3456.93310559968,13453.2389191078,1021.7212137403,5187829.54686044,2393.42096475657,-552.958362667515
100,0.215,0.825,300.856041926663,750,0.635,2.09973616457769,2.94883235370245,0.678939381071343,0.84503733297654,1.1531495890029,578.620003973802,500.105507955852,519.678891444518,1798.82865397401,1273.26888646659,1.04814315577291,1.16845686093661,0.480612510145334,0.377460929665039,0.774791147480078,6.32291395860181,7.75654050188728,0.885765428722995,1.53415130971327,7.65740274021625,365.801822536073,352.873731489354,320.118939226464,616.509376096058,376.772834055215,2727.3769390217,1882.51842427626,1200.50319481498,41795.0737674188,6680.75243684788,-563.100905025322
100,0.215,0.825,300.856041926663,750,0.635,1.03639992150267,1.30635098781453,0.655548571899859,1.87020734395406,1.00503991109059,1022.80192171253,536.131551787724,400.779990779508,1481.63883480858,717.130999393646,0.731942951131221,0.962668478728041,0.510995098188351,0.842185180442595,0.72541861637475,1.87884737574535,1.89635815644352,0.86138195588206,5.64607247986039,1.52962299869659,469.115234249353,346.671900645346,245.118099198879,348.437569671051,402.058839063993,6120.34055412593,1124.10959345873,906.521038672409,3500.5843706707,2870.87130063408,-580.392966572122
100,0.215,0.825,300.856041926663,750,0.635,2.35891012447945,0.8567650223164,0.718050621037147,1.18955017915115,1.37222494975415,507.681968073831,2413.02184883333,514.226490698637,602.427945565422,641.916730932923,0.551172473861978,0.346500695463273,0.512783423344155,0.601992418740227,0.947682436264485,9.41601851292305,1.71639502366126,1.09674524064838,3.12813249415898,6.32456529447357,327.762960949231,620.802912005972,325.166963160637,349.76211973208,370.123864286301,24027.3219478124,1546804.45791005,1301.92795469035,2832.55834595421,2106.67901087886,-624.164690463854
100,0.215,0.825,300.856041926663,750,0.635,1.81374996836108,1.04284522507887,0.79158663617275,1.86354581254935,1.2159953345904,579.685315028824,1374.05408326221,355.978205785815,525.989739110775,1364.53540957778,1.0410192342232,0.672301469965094,0.545727511938031,1.05875290863374,0.729457079078742,2.91968626402704,1.46886642677244,0.975652120555628,4.18257923722547,2.12940468552435,376.527441593985,613.318618781252,242.09723247047,360.885480254908,618.648650354794,2088.40496596021,11143.1622255296,658.513490029294,2608.30744084926,10008.3594741295,-579.617645888773
