100,0,1,0.850510347281141,1.36351785486568,-806.709878165746,-807.391637093178
200,0,1,0.774303624192352,1.79004252196637,-1594.53349755655,-1595.42851881753
400,0,1,0.234059085736109,5.56518177408725,-3209.84092772648,-3212.62351861352
1000,0,1,0.351561943204879,4.42476422056643,-7984.61526785551,-7986.82764996579
2000,0,1,0.575030102643284,2.89804281123725,-16007.3269107959,-16008.7759322015
100,0,1,0.760356744854634,1.86616886913293,-804.911960722755,-805.845045157321
200,0,1,0.608044476505387,2.70668988827947,-1580.25895849786,-1581.612303442
400,0,1,0.304518471090307,4.83622367526277,-3151.96779046293,-3154.38590230056
1000,0,1,0.172717873489895,6.37683836914039,-8006.65124549834,-8009.83966468291
2000,0,1,0.169829056032278,6.42111621264121,-15961.0193686351,-15964.2299267415
100,0,1,0.475224048067894,3.51748928529764,-806.586692145865,-808.345436788514
200,0,1,0.555745802555763,3.01243973659848,-1600.62352506644,-1602.12974493474
400,0,1,0.901264538681089,1.05551461087452,-3187.37542016513,-3187.90317747057
1000,0,1,0.164691346424921,6.50157223963834,-8002.39462212107,-8005.64540824089
2000,0,1,0.217304713399248,5.76616903567992,-15918.4011987906,-15921.2842833084
100,0,1,0.253706487596714,5.34486222366195,-788.013117474033,-790.685548585864
200,0,1,0.660716374214917,2.41057867036443,-1612.56266687434,-1613.76795620952
400,0,1,0.315708655225858,4.73387939633449,-3199.0099058392,-3201.37684553736
1000,0,1,0.00879796986234858,13.5709938291347,-7980.35583627168,-7987.14133318625
2000,0,1,0.602943570371942,2.73592170710617,-15947.9791545519,-15949.3471154054
100,0,1,0.660091395337225,2.41404060367086,-789.313656607099,-790.520676908934
200,0,1,0.147405370132905,6.79009423964726,-1581.65753246961,-1585.05257958944
400,0,1,0.244044026220735,5.45129444467148,-3182.72901300103,-3185.45466022336
1000,0,1,0.367499804566649,4.29541324777711,-7998.19339104419,-8000.34109766808
2000,0,1,0.0582353538760734,9.11722178213313,-15972.8966955812,-15977.4553064722
100,0,1,0.431246399473807,3.81764963210799,-789.698362535467,-791.607187351521
200,0,1,0.120159791851695,7.31477497921742,-1598.06148114726,-1601.71886863687
400,0,1,0.540645332403405,3.10356969485474,-3173.36243161679,-3174.91421646422
1000,0,1,0.0203996710901734,11.6214736221154,-7995.16817673271,-8000.97891354377
2000,0,1,0.25897561537452,5.28828487557621,-15950.4413334637,-15953.0854759015
100,0,1,0.726691341497115,2.04930119492678,-785.937703055406,-786.962353652869
200,0,1,0.812635452515283,1.57858707747755,-1592.34589788127,-1593.13519142001
400,0,1,0.932027700080994,0.847076442096295,-3213.52337398784,-3213.94691220889
1000,0,1,0.400171235495192,4.04334715460936,-7985.31787068446,-7987.33954426177
2000,0,1,0.154654545232615,6.66553597030725,-15967.6200126917,-15970.9527806769
100,0,1,0.315172819936683,4.73871138584764,-777.651598896209,-780.020954589133
200,0,1,0.339496175148593,4.52582586403651,-1586.1090711191,-1588.37198405111
400,0,1,0.439737644018725,3.75806130346427,-3202.78173820876,-3204.6607688605
1000,0,1,0.657315919221236,2.42942727222544,-8011.89028137268,-8013.10499500879
2000,0,1,0.134753147516805,7.0215620527415,-15935.3140918978,-15938.8248729242
100,0,1,0.271183768697418,5.16089185653323,-774.097046062509,-776.677491990776
200,0,1,0.760066920247745,1.86774817221294,-1585.83801512379,-1586.7718892099
400,0,1,0.907775752514464,1.01327943726028,-3174.20499750155,-3174.71163722018
1000,0,1,0.00441773742124234,15.1408951310623,-7996.8051915053,-8004.37563907083
2000,0,1,0.0307631277660875,10.6522531856062,-16021.2376886611,-16026.5638152539
100,0,1,0.904074531544192,1.03738935029105,-791.06655745145,-791.585252126596
200,0,1,0.675792884226284,2.32735669002659,-1619.45318373481,-1620.61686207982
400,0,1,0.936027548704989,0.817935256368401,-3200.00264299218,-3200.41161062036
1000,0,1,0.279997523033613,5.07191820035405,-8016.61945043611,-8019.15540953628
2000,0,1,0.699558805120469,2.19710783637856,-15940.6353474125,-15941.7339013307
100,0,1,0.317444976295913,4.71826794684011,-801.86920563581,-804.22833960923
200,0,1,0.794767707755712,1.67768147554807,-1602.64903324094,-1603.48787397872
400,0,1,0.0574367090385732,9.15088703785295,-3201.16205876073,-3205.73750227966
1000,0,1,0.155335912247781,6.65410350563798,-7992.87457281978,-7996.2016245726
2000,0,1,0.026823420900775,10.9770265713232,-15974.7730767291,-15980.2615900147
100,0,1,0.906534272554791,1.02139740579219,-798.543212341759,-799.053911044656
10000,0,1,1.94500647261744e-10,51.2862328953051,-79780.0431785945,-79805.6862950422
10000,0,1,0.00289884282781974,16.0914745475748,-79874.1752553603,-79882.2209926341
10000,0,1,7.37196534642646e-06,29.1254069344141,-79727.5629605365,-79742.1256640037
2000,0,1,0.685424931984369,2.27444831975663,-15984.9371260737,-15986.0743502336
3000,0,1,0.285456318205981,5.01799261340057,-23949.0067905862,-23951.5157868929
4000,0,1,0.00315723995569796,15.8993483868908,-31967.1848172491,-31975.1344914426
5000,0,1,0.165309930776665,6.49176601627551,-39901.7140662593,-39904.9599492674
10000,0,1,0.000401117605199116,20.4816129745741,-79858.373119726,-79868.6139262133
2000,0,1,0.0321236955430677,10.5493691121155,-15969.8818074956,-15975.1564920517
4000,0,1,0.0651338246439537,8.84345077350008,-31882.2379400397,-31886.6596654265
6000,0,1,4.2209424953606e-06,30.3157172994688,-47855.8854842549,-47871.0433429046
8000,0,1,1.03097345595538e-05,28.4079583769926,-63898.3782684577,-63912.5822476462
2000,0,1,0.0854718050933175,8.17215033774119,-16003.8861594991,-16007.972234668
