n,p,q,tau,B,shape.mle.1,shape.mle.2,shape.mle.3,shape.mle.4,shape.mle.5,scale.mle.1,scale.mle.2,scale.mle.3,scale.mle.4,scale.mle.5,shape.lower.1,shape.lower.2,shape.lower.3,shape.lower.4,shape.lower.5,shape.upper.1,shape.upper.2,shape.upper.3,shape.upper.4,shape.upper.5,scale.lower.1,scale.lower.2,scale.lower.3,scale.lower.4,scale.lower.5,scale.upper.1,scale.upper.2,scale.upper.3,scale.upper.4,scale.upper.5,logliks,shape.1,scale.1,shape.2,scale.2,shape.3,scale.3,shape.4,scale.4,shape.5,scale.5
1000,0.215,0.825,377.709824077126,1000,1.43884564344833,1.20332546426151,1.03228658863044,1.02467578450433,1.35491959945226,968.319454177345,946.457950946336,1063.06218034344,1276.24607123602,754.843862239179,1.13382779402352,1.03290292554547,0.914264141951386,0.870449087251125,1.20200753648778,1.8060360385932,1.39931450003897,1.1777534707558,1.22992567932485,1.54706161444569,745.753677068688,753.079615028955,853.502292926613,944.293732444338,643.237910773437,1472.21961684083,1254.3353362315,1384.83593734914,1910.63784709123,939.273771583021,-6010.94666517404,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.20308933000848,1.0763869531521,1.27753378916901,1.24599050931488,1.31381433401589,1198.70027505639,1134.46080145841,757.178456468428,769.930280295011,861.484264435747,0.979715191545179,0.915052984898772,1.09194314445679,1.09409100360226,1.10123514188093,1.49791238987453,1.26931845875008,1.48845330881558,1.46329898620041,1.52729875743385,860.633628621905,864.210882465185,633.633465781603,632.234872990283,709.280569757515,1886.61513876201,1674.62394826401,976.899530707168,950.741641119684,1185.73330469506,-6182.13509773554,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.17218277581738,1.16662972997212,1.06352574112171,1.17407042047384,1.27802129198088,1038.2147295034,897.76684705786,873.235140759948,1155.95153808859,761.342513480183,0.998514175163887,0.994241840210512,0.919826954104074,0.967194574400306,1.11766383870137,1.39824307308989,1.41772407279801,1.20032028609842,1.49763250423119,1.49756294317184,795.195104817889,708.227755114884,713.857281882279,828.266669533141,616.08437135109,1478.48434333029,1233.48387455136,1167.72684137509,1762.19560680777,945.729713861041,-6222.24544809657,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.2802365165992,1.06396835824382,1.14555685944219,1.00367196419757,1.25277603340173,859.592363689999,1128.22153480765,726.262425142602,1330.97619714353,824.800795636572,1.05546061156357,0.891403253519501,0.989620457210472,0.841213547016731,1.04182217115397,1.54232172854542,1.32345422623976,1.32573475800002,1.20377012062364,1.51189039611693,672.109607905511,850.052581118248,604.718109677026,952.280034415376,667.364807839012,1171.06049498886,1839.25087770177,907.239374952562,2122.58922614651,1090.47064276031,-6259.9217506876,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.21228593207136,1.30522424458665,1.16621150174918,1.18277975933516,1.23359197221713,1204.91903685687,730.943144915544,802.34830510151,913.621822114021,910.181132177251,0.988026077739477,1.0996359300381,1.02544790423308,1.03340321465295,1.05862528774023,1.55640243109095,1.50086560878149,1.33692211484624,1.35131415662134,1.43284888013843,859.230055799527,605.868021800298,662.835201928358,743.568922553116,740.035068390828,1843.3330301103,936.472303382355,1008.87526838613,1241.53133655407,1218.69834105159,-6163.62689674288,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.06617709092836,1.33797089364748,1.11721277431196,1.31663923795243,1.20234959732099,1527.72675644711,752.62221683003,779.568892986199,948.505512720338,928.437778777237,0.876484896237032,1.17526760844193,0.998375035581728,1.13911591003196,1.03219983442214,1.29464494905069,1.54361099665401,1.25928305461989,1.55040169910998,1.38500459773905,1104.88080858486,634.139021203468,650.684679971658,755.901715352443,748.896616079183,2631.81179874763,938.414566754804,976.028175924217,1250.98351291947,1247.35802939406,-6098.13868907895,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.17471029885107,1.30274979585122,1.07333242196075,1.16877024332149,1.14340154744018,1294.55293727366,854.215661235015,945.563367474025,867.231348940778,888.903928199376,0.887532794826447,1.12630666243734,0.875995832336093,1.00510236656453,0.971325869489687,1.42354094054963,1.50045011826655,1.27013334179716,1.38111555807922,1.30514843502627,948.826440380643,697.096415630271,753.518764643761,699.542586865166,718.263917218182,2727.51570020104,1163.36524464355,1426.88540631048,1162.15856020588,1198.01162615502,-6151.26452159927,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.19359165766302,1.14898179277316,1.20707183881598,1.10250201835688,1.23315472477396,1203.15697630196,900.49543903287,785.16877074894,992.019407762523,868.751847489533,0.944475109526065,0.96846851263534,1.04055198118965,0.933531563912321,1.02862138514257,1.56224319413987,1.3708000940032,1.4166394264182,1.33579149384228,1.48007966731144,859.004453722793,702.394867962454,644.952262159267,766.336996479489,690.448460591628,1957.77267973132,1224.6478118426,1016.64146290524,1413.50774500372,1191.35376251604,-6179.85299508104,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.09723460589968,1.23571196580596,1.07340376657994,1.23981462197171,1.48133250965861,1156.38824326656,785.06938389402,987.966245572712,894.477395133423,771.957163885374,0.901255648606659,1.05894760813875,0.888740394383299,1.01902234419483,1.23570335699758,1.33344049321512,1.44370786064258,1.32228731923311,1.53253817762952,1.794481734463,866.90937318657,659.558005538297,755.054533597012,706.486933072041,631.260311672004,1846.23902708434,1037.23875005894,1443.62359004448,1267.34707913005,1006.35487515765,-6208.16260031597,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.04278840390498,1.36907434115614,1.19135405334495,1.41139778430477,1.2144602775829,1324.63772534711,679.51848370664,827.839517391942,735.450781631098,903.356813365934,0.854714660218116,1.16041520790889,1.0199639699766,1.18832103562928,1.05849980132822,1.29321189684604,1.60137420668215,1.38845626917,1.65912678726985,1.38177247376637,925.431020515614,570.394070508672,663.812530716244,609.78839011654,728.187985441897,2312.04920710742,849.439120974882,1153.65053566283,942.768406967307,1183.76502634911,-6259.01305872444,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
