"n","p","q","tau","B","scale3","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
100,0.215,0.825,344.602915396735,500,590.1141,1.85557238603836,0.801391888208088,1.14838623778826,1.6949917489331,1.03755529712123,537.509833060487,1822.79465006233,834.162630304393,806.871573422277,1029.34269993071,1.27979945049515,0.528804962297828,0.736110336023581,1.08973383193252,0.679200454561799,7.10857713877838,1.1370501637699,3.21937887826567,6.60697143597761,1.81154011079395,392.107872050752,812.455303068352,442.65278713687,432.656447273287,558.425190627875,1127.2376960255,13477.2380875907,3112.72743407312,3185.26486300583,4386.8617672044,-589.702531365014
100,0.215,0.825,344.602915396735,500,590.1141,1.30324625282484,1.10083586513411,1.03661238435863,1.52063501323078,1.40902506448912,699.874716347451,804.998583222426,594.296907250006,667.84957109048,714.441109313873,0.811211514194187,0.594065358844629,0.67837426194084,0.693791981274091,0.786097609342211,2.30889787814412,3.67491463593344,1.49629750955418,3.64655467623136,4.15791429211151,425.143199537604,399.400999459605,391.29417015693,390.046314621649,419.83152569748,2680.96635242561,14526.4734090175,1532.13362781444,6208.61035625853,3960.03545790204,-647.723259015743
100,0.215,0.825,344.602915396735,500,590.1141,1.44491054587355,1.9353935259318,1.52141907390888,1.19791439127156,1.84350507340205,638.03844337439,612.735361399705,475.449580935042,1063.50815604356,590.816723510352,1.05690207191676,1.34844746756204,1.18050157495456,0.595895051351598,0.568150299949781,2.20411348279448,6.10930140429102,1.97997858821076,3.54296033492211,3.40317359675865,430.112671006867,398.639089690614,343.842002291877,488.359949385622,396.526001375236,1486.42535383735,1557.48887877004,772.0822560558,21686.8654628502,9516.50862730271,-629.69329347021
100,0.215,0.825,344.602915396735,500,590.1141,0.588081525523373,0.951466412675258,1.69441803780871,4.05399172364794,0.764356424318615,15069.2577513421,756.296918391248,471.27525721913,468.089786505691,985.028217852433,0.337435901781587,0.630443207228385,1.12411725224246,1.06022238728142,0.48636979061256,1.83902887768741,1.42342949529328,3.55010387733214,8.8198978318051,1.19192010059119,1398.22460548664,468.260248404953,367.074978106923,381.031722127643,519.267937396383,4437324.40603221,2934.49292187476,775.799624544421,1287.91778428977,7547.52599491684,-619.91056489471
100,0.215,0.825,344.602915396735,500,590.1141,1.31041907388965,0.963703690524508,0.98707814416331,1.24844866808051,1.6525759114566,926.123652835852,2991.85013129493,470.605722929239,745.198620207653,637.675005037019,0.867852324837052,0.484913196793274,0.743223390945634,0.758630390840219,1.08386304560758,2.87289053158369,3.84683503226566,1.40898552968395,1.92445641289245,3.02048533365551,482.843449674951,708.988211414752,331.67692917581,443.574587300287,416.948114071293,3991.86146468979,133164.764605661,994.493900785637,2351.43440601833,1612.94340959242,-617.334623686098
100,0.215,0.825,344.602915396735,500,590.1141,1.85377260490927,2.58418681433744,1.2486942769736,1.83736001547622,0.917118601103226,572.415100677056,539.347519559306,572.646148013878,826.478341457061,1410.75132715191,0.784543884482536,0.605930432358389,0.816323154415489,0.939065402191805,0.487058662630982,4.79918801423836,8.7666726182231,1.65386044323374,6.31026902470703,2.60073762888189,393.719197039659,387.300867232471,403.355573477093,443.583425553695,560.998421249441,1859.01828140215,6651.46044349817,1401.63353742255,4491.55789860838,33044.0377695318,-620.857822710235
100,0.215,0.825,344.602915396735,500,590.1141,1.42196892344572,1.24280965296701,0.930986346941631,0.831622146771724,1.0032105196644,960.034434081692,765.90218992933,1199.46956552167,2117.31091052977,956.869808959752,1.03864837459278,0.841605949962332,0.578330002486157,0.287083580435186,0.750624736009199,2.48582532332309,2.12576991249348,1.4814071100447,1.88660821243717,1.37317876719712,571.859995257896,457.536159215894,619.811881170837,657.983403472752,548.187646783619,3535.09708464256,2077.33561092181,6380.64575050924,21898481.6964407,2969.21156237445,-582.887730169879
100,0.215,0.825,344.602915396735,500,590.1141,1.27323201104393,1.11225491493837,1.13570980805324,1.47019776504169,1.15981892242094,729.897806286907,1357.1026836517,477.452908576317,745.284584951899,1046.41385183258,0.897798352789554,0.674547602863882,0.781541278136711,0.811530093243409,0.80728307259128,1.78922706170622,3.36929347518487,1.51943716819267,2.38508280989992,2.29587330521397,467.735368863991,509.449121107454,342.377161213042,439.160634614124,513.82534228505,1749.12168345169,23203.1904527414,795.531236011811,2611.35841168715,4517.77205706631,-618.755975036364
100,0.215,0.825,344.602915396735,500,590.1141,2.32122056218057,1.01985257579853,1.41262108509623,1.20024985479375,1.42506268025098,656.185392403379,816.031619404025,456.53638841074,668.442074234007,602.27544426516,1.04373925528924,0.583263593453768,1.04322603604262,0.567735277555495,0.999462909872186,7.41671208375974,1.74717853641523,2.13808478147611,1.81555066563381,2.04414909851242,412.255999266644,434.542511655728,337.897412528626,409.799696501236,377.531061527762,2526.17009464332,4199.73571571596,837.285502659746,3966.57855296381,1413.21126676775,-636.74190406588
100,0.215,0.825,344.602915396735,500,590.1141,0.587140799562419,1.20372246990765,1.01265741247535,1.4332973311889,1.10399503026693,20427.8141721705,1196.22632214173,453.902399884994,822.698651995622,697.722939801086,0.289565876015665,0.863079348415855,0.796682517646243,0.93403127376537,0.538082378542906,3.43632125437644,2.67637329439339,1.29222705634147,3.84716437082965,1.79320261251016,555.301824680508,606.187976209822,323.529932488146,454.597442586063,428.459656437845,55143655.8852425,7179.95461186238,831.394059529036,3055.27975729344,3218.94531055758,-601.756313814617
