"n","p","q","probs","mttfs","tau","convergences","shape3","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5"
100,0,1,0.539303578315749,2011.65788085612,Inf,0,0.35,0.959471635481483,1.74582632918202,0.405054511977924,1.04102103013615,1.26439640949521,1427.37735753462,515.626290961193,371.547484076686,2027.33632035466,767.654690711557
100,0,1,0.539303578315749,2011.65788085612,Inf,0,0.35,1.57237378652852,1.18497921506896,0.442218052750562,1.21185260175933,0.771637075177593,674.522223210691,679.368774399803,266.151370520695,1739.99102771717,2918.58472035003
100,0,1,0.539303578315749,2011.65788085612,Inf,0,0.35,1.94580363055783,1.17932848476584,0.35044583307262,1.32922731620444,1.74352900804167,702.317340079263,1508.95984994238,495.44319767806,1009.78503318849,708.262058030092
100,0,1,0.539303578315749,2011.65788085612,Inf,0,0.35,1.2077944003857,1.14332935385801,0.382668332071138,1.21925590900466,1.08347176099987,808.259366591927,640.838017275171,364.99135961606,993.830696447486,1841.83495322922
100,0,1,0.539303578315749,2011.65788085612,Inf,0,0.35,1.2117630606159,1.84393463463311,0.284328155818536,1.16505806232196,1.53900916293918,1115.02122459152,619.051711502813,386.468562090263,1174.47409577748,716.144036596753
100,0,1,0.539303578315749,2011.65788085612,Inf,0,0.35,1.38313013059213,1.14713927201073,0.383974941949155,1.48036907053791,0.972206480715963,996.252664007704,801.043920370756,652.491503365776,882.939114497201,1570.29043557992
100,0,1,0.539303578315749,2011.65788085612,Inf,0,0.35,2.17218857945528,1.31824380558745,0.337114706542454,1.70687665994529,1.23405839520529,516.010067988466,414.24644683127,465.497870157331,569.569003424862,729.118988618054
100,0,1,0.539303578315749,2011.65788085612,Inf,0,0.35,0.95839575529657,1.26371829824405,0.390750380594712,1.43452864610513,1.50044696125381,939.579979696071,767.00470381419,330.657573941407,1279.08619843116,867.448040630603
100,0,1,0.539303578315749,2011.65788085612,Inf,0,0.35,1.19327020927687,1.6236273634483,0.372094341689904,1.17293002407024,1.12274889746518,900.858945983847,675.668671753531,314.413506663087,919.6580703497,1058.59198562966
100,0,1,0.539303578315749,2011.65788085612,Inf,0,0.35,1.09501283042983,1.43677923622248,0.373510323137387,1.02727891997918,0.834444945136909,1890.79157891394,1222.41269706842,176.208658933536,1164.52272939883,1756.55303188498
