n,p,q,tau,B,shape.mle.1,shape.mle.2,shape.mle.3,shape.mle.4,shape.mle.5,scale.mle.1,scale.mle.2,scale.mle.3,scale.mle.4,scale.mle.5,shape.lower.1,shape.lower.2,shape.lower.3,shape.lower.4,shape.lower.5,shape.upper.1,shape.upper.2,shape.upper.3,shape.upper.4,shape.upper.5,scale.lower.1,scale.lower.2,scale.lower.3,scale.lower.4,scale.lower.5,scale.upper.1,scale.upper.2,scale.upper.3,scale.upper.4,scale.upper.5,shape.1,scale.1,shape.2,scale.2,shape.3,scale.3,shape.4,scale.4,shape.5,scale.5
90,0.1,0.825,377.709824077126,1000,1.16831570106617,1.33099295127426,1.38100483591229,1.3666512015732,0.819936007143923,1247.98578504127,645.857318777245,635.923890031506,771.07473961249,1575.58822019298,0.75422175032042,0.819713241465986,1.02702551159626,0.895464770147422,0.568784639910006,1.48797415814384,1.93140720439573,2.0148514029048,2.0076836450127,1.21735937874247,675.070814965862,438.992667682797,431.749205482944,501.437357017364,722.72955392125,4585.75722247475,1663.49799470281,1244.78877395472,2194.70441309817,7587.72190713772,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
90,0.1,0.825,377.709824077126,1000,1.20695249753039,1.61896334236877,1.08263630920313,0.628659255860702,1.76604444885098,1141.15336127885,649.032441831612,873.70457064243,3894.76148509565,606.777548962261,0.615967528276183,1.20426212941763,0.71793956993841,0.416659545019414,1.11986838204001,2.69881276450117,2.40106630565748,1.66145214874148,1.12721276335189,3.65008209986147,540.215058082091,458.561512579481,526.244057029466,1121.55056343371,444.883867318575,7972.6344825464,1232.31650491542,2407.19303340881,44535.7977150212,1202.99837308321,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
90,0.1,0.825,377.709824077126,1000,1.16432954172605,1.13513883083342,1.11846310976759,1.32712309981946,1.83629773439123,1361.05553425252,655.159429673037,1113.39924401168,792.188338830514,615.641651192147,0.835489532553159,0.816257695638112,0.75964621063277,0.714877099340303,1.00372985505854,1.8275317134626,1.67439236821064,1.85892917908887,2.7101993452702,2.89593726718343,684.998598308006,448.970326238272,597.886621657413,464.98708679933,437.627998729637,5409.61271548981,1362.37780169407,4486.80111897736,3413.787146071,1472.68146727339,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
90,0.1,0.825,377.709824077126,1000,1.80298657354943,0.986456553208773,1.51687655857257,1.29782451377012,0.949332727735728,830.074342448423,998.350290950868,698.17299803041,622.975249261661,1489.19299557691,1.23804031564155,0.668127703349894,0.929889613968998,0.713811031296022,0.571388575071995,2.80970360863635,1.48163739420434,2.4237753942893,2.01387339537721,1.78855276236211,520.181725984198,556.852484676118,462.63466365502,433.911679806348,650.861620743999,2020.53687198213,2866.25400699686,1609.12820600463,1603.47088465798,9435.56499583138,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
90,0.1,0.825,377.709824077126,1000,1.26464713120405,1.28914817647164,1.02879870729867,1.37164853427429,1.72374430470392,1073.56995191418,554.726186319608,1266.91204717896,793.876341604254,724.178207049664,0.786901621059876,0.911433973604336,0.745995242920162,0.910054458681068,1.20637691690546,3.60645410003353,2.00067997177879,1.58749769047551,2.3864070957352,2.69178137626096,545.350809692176,403.359144850593,644.191623346413,494.876463399574,482.599715284103,5342.23342150976,981.575930268207,4661.2111969849,1965.14192255639,1486.66526213876,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
90,0.1,0.825,377.709824077126,1000,1.19450716961865,1.08980918253336,1.01357702757948,1.06534321773411,1.22763503222666,1352.14534201152,890.474033290054,1011.97826541425,863.742848271473,821.407994175674,0.575799582788815,0.684954369791385,0.744992820857025,0.804098133157714,0.813235937617832,2.7967264754147,1.56077652235409,1.52072371142297,1.46306830675394,2.1474258000539,555.843945348216,534.737532847798,554.89277748066,501.498733137409,485.302346943133,27646.244056308,2760.48196181521,2569.68275365517,2028.34652724551,1986.96822029981,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
90,0.1,0.825,377.709824077126,1000,1.30108567067388,1.5961203859377,0.655922454683569,1.47708360244762,1.91831734514102,1643.81792596459,524.507011320892,4291.28620599302,692.356099121261,567.852258921401,0.435113286824431,0.991303287775693,0.375261807787265,0.862757191899619,1.32249148186245,3.48732034128363,2.16016565554339,1.62073893243543,1.96108506688075,2.9163937184829,545.343399581233,405.280565281635,871.22463403993,477.664543726536,416.483608764743,264042.118153408,935.984036987225,125843.713152992,1605.07614521333,1063.90315690773,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
90,0.1,0.825,377.709824077126,1000,1.06089844644972,1.35782533466429,2.30264193883789,1.0184199339619,1.22772055883096,992.414029577172,922.820074762764,589.637799515713,1385.4349230792,1216.79110550949,0.781112009013645,0.741563483177228,1.30445163525607,0.628175038066471,0.595149472525939,1.40311003266873,2.27808392924506,4.75686788280211,1.666353694991,2.41540523284343,584.154258274374,541.294787221347,445.971080317343,630.985084605101,595.940037999929,2367.98483577801,4288.59763215817,1185.56420453265,6201.75037426927,19645.7745198389,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
90,0.1,0.825,377.709824077126,1000,1.61607430380628,1.18796205492444,1.51637677734213,0.782410811106056,1.65287140071036,756.690526303799,1305.32244175077,500.786463822662,2224.09193229214,849.336238873201,1.08143848698893,0.726347054139626,1.10271627996562,0.48498005724586,1.1161914230384,2.54296971002855,1.65133712587887,2.18165111281405,1.36298793404701,4.14102400153531,493.87564344103,677.438558266012,364.958685657315,810.534959506784,498.99234564528,1692.58356274134,8340.73257223539,805.675936324166,19656.1134124663,2263.89290963398,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
90,0.1,0.825,377.709824077126,1000,0.836492677960325,1.67792212560928,0.934417382598079,1.27841514886568,0.804455834043616,1323.21104265988,550.827062801828,1124.22389798531,897.413174880603,1218.24609751516,0.479225726355331,1.00551669824103,0.531880200229936,0.710352050311898,0.525681583789108,1.25677851680574,3.05220444279102,1.69617484617005,2.78995143093834,1.22348661115659,631.172252563161,399.771337804171,552.116328399383,498.604572090153,603.491774257841,7821.83065322479,1357.68482707516,6367.26789378065,3713.49475000047,4902.5553210763,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
