"n","p","q","tau","B","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
750,0.215,0.825,377.709824077126,500,1.2720219432752,1.25269348681165,1.05079825113382,1.24039445618879,1.34402177360284,1068.27406720424,842.489942440469,804.396018765264,948.638476261835,747.487957930762,0.90011754030845,0.910534912898596,0.828670169259027,0.995677284733766,1.08235672006136,1.57340154590283,1.45796382105882,1.21019503743407,1.41527614965118,1.57561183350371,303.972952446897,568.243134034664,494.527748914156,590.12882731195,488.105312420517,1390.21816462605,1036.95618502937,977.575809220577,1171.21113868387,892.162170098421,-4686.83734067761
750,0.215,0.825,377.709824077126,500,1.30094453686833,1.31926571613983,1.1082663806474,1.31766750563642,1.07145897375915,747.255427803949,852.265124307116,789.199837070716,882.027796284476,1057.73830675881,1.00346240431715,1.03782401923766,0.885460814338301,1.02224356942323,0.831854908624333,1.53238435467446,1.54302751618488,1.26271088312278,1.54910692779058,1.26967806283412,485.280048206398,488.786471497765,538.422970555701,502.595406368373,472.685214536804,900.212684026418,1034.98699119542,957.505709784726,1089.05806101137,1323.31286551618,-4715.5323970576
1000,0.215,0.825,377.709824077126,500,1.42178447986645,1.1651877619647,1.1821945320826,1.20752843683822,1.19079550961293,811.688325258246,910.408718193352,796.959944752017,974.805396663919,816.290601813775,1.17666350710195,0.923608148303077,1.00594426084423,0.989642712851699,0.969968638079683,1.63673557412533,1.34690909670991,1.32952194517929,1.39674433656865,1.37854502508512,554.933294190223,573.340458572212,559.77001482872,589.877605771502,524.870010908602,952.455381739351,1098.27381950095,941.869611000612,1179.68330828618,974.147767718919,-6248.74983615161
1000,0.215,0.825,377.709824077126,500,1.26435015374095,1.19621033190586,1.23316847054502,1.29061425208187,1.35009632705117,873.781204740935,839.094963250781,705.038819937509,817.354680733245,827.592497715474,1.04546307766689,1.01742810421187,1.05581878415046,1.08837110211409,1.10860036697811,1.43610401935318,1.35010391378631,1.38197368415261,1.43783780402321,1.54209510641812,552.019976997241,585.134637186218,531.339351547678,606.03519145338,538.417030503417,1057.94266769777,998.357668863886,817.921216856791,967.900504861334,982.467112252653,-6289.96429389557
2500,0.215,0.825,377.709824077126,500,1.32125351078265,1.18596928674826,1.10069122308172,1.25414724841511,1.20311460466813,909.253335110407,884.967311916832,832.764599777116,946.126744195159,996.651383230913,1.1582905792226,1.05150631998812,0.998840049110236,1.05638902614647,1.06328746380671,1.46101462630099,1.29712151464946,1.18484270255077,1.39337743771079,1.33000199488585,703.567376793058,695.467472591205,705.618356626739,741.849668958157,762.622856161816,1039.19691963083,1016.25053996729,941.544745422756,1108.63140406272,1161.24149443006,-15546.800038334
2500,0.215,0.825,377.709824077126,500,1.15600990042588,1.18224202729956,1.0807743283447,1.3184337119124,1.19188267470355,1172.72762754106,922.618549056353,862.164942943632,758.988641342511,941.189802963435,0.960205303516299,1.07144743226036,0.957877206212721,1.17541520380933,1.04823426077933,1.30330038909511,1.28990300680776,1.18646873711661,1.44338942702091,1.32365764306462,761.740889842431,745.512342503554,691.73308523504,635.006072913606,726.516170604022,1439.64024152563,1046.48541227698,992.749391803698,846.822838454261,1079.86563534991,-15598.2873635353
5000,0.215,0.825,377.709824077126,500,1.16119374125934,1.16279671748466,1.19115634604749,1.16228721101684,1.16434391731167,1128.93500663244,944.126427494963,815.641193090109,1004.25034352853,949.562242369379,1.05325619930179,1.06088380755047,1.09624800266575,1.06307080606943,1.07091467746318,1.25256118709518,1.24875171394223,1.27897170051239,1.25838602187951,1.24329349384832,928.242857015323,809.199349270525,720.535018377505,844.424724681671,822.490405954528,1290.23053907026,1044.25242863903,893.789301421231,1122.46045952659,1049.43910468279,-30805.9207815082
5000,0.215,0.825,377.709824077126,500,1.30384257128493,1.14388621767234,1.15980426939159,1.13350466959697,1.29464073338648,993.62444864024,969.259627850022,804.393769719438,974.170320809452,853.969514962183,1.15533648015292,1.05821952286331,1.08409408440396,1.04861703065758,1.18346104208387,1.41180207580757,1.22927680255635,1.22741385591831,1.20470050834495,1.39599350408426,826.836198831396,835.361873109559,717.375285210398,844.80312852954,748.381652626595,1121.82058135141,1075.65401599917,876.739039266657,1083.13144771549,936.361001811438,-30912.7983467324
750,0.215,0.825,377.709824077126,500,1.2514152524218,1.18047253970677,1.02493647480766,1.02076937326535,1.1934393905212,920.535449798538,897.342411841051,957.755805444913,1095.26893530867,1006.76010987393,0.955217837818816,0.964750465852868,0.82371334382353,0.860701210276842,0.888880942207847,1.45539236755408,1.35748556718585,1.15846944741466,1.15907340645223,1.45601442409317,573.741481742485,592.822626222855,624.330077936082,612.206824633347,466.252848930697,1133.03089288484,1086.83517888754,1175.28047992856,1357.08564093545,1265.83355064229,-4626.28626150198
750,0.215,0.825,377.709824077126,500,1.21793841625812,1.16213818478266,1.10192319454709,1.10060202596435,1.19589601639556,1041.07717362192,922.789244971128,878.074399493294,1149.51448665692,952.945046321532,0.918282724440653,0.93259502866321,0.872464137639609,0.741625240047048,0.935501188810578,1.41666827976944,1.36741954619355,1.2613593169176,1.3108769800457,1.39320834518775,532.378524437338,552.059518283564,556.886326218048,484.660384894716,504.561794887651,1313.53735233351,1139.31918447717,1065.90681360591,1505.86714186401,1177.74791485229,-4589.31150683848
