n,p,q,shape3,p.value,stat,loglik.F,loglik.R
100,0.215,0.825,0.25,4.88365331966184e-15,73.1586743606338,-462.742849249363,-499.32218642968
100,0.215,0.825,0.5,0.0584755254452698,9.10718377158969,-601.075616043588,-605.629207929382
100,0.215,0.825,0.75,0.0059668526159787,14.4584557671665,-615.404980698304,-622.634208581887
100,0.215,0.825,1.0,0.582065908205294,2.85681427252212,-562.638009382143,-564.066416518404
100,0.215,0.825,1.1308,0.489879513294897,3.42172550478085,-578.68824680582,-580.39910955821
100,0.215,0.825,1.25,0.809778448464373,1.59451040599834,-614.725113586546,-615.522368789545
100,0.215,0.825,1.5,0.144930882450525,6.83389414583553,-627.799907984387,-631.216855057305
100,0.215,0.825,1.75,0.621175040736189,2.63194342787074,-611.154147712933,-612.470119426868
100,0.215,0.825,2.0,0.318323734273875,4.71039362609645,-621.787759631001,-624.142956444049
100,0.215,0.825,0.25,1.1380849062505802e-19,95.0027233953887,-500.990445018299,-548.491806715993
100,0.215,0.825,0.5,0.0047254527884232,14.988344398208,-597.547071337003,-605.041243536107
100,0.215,0.825,0.75,0.0013285326319646,17.8360701046508,-585.072224192373,-593.990259244698
100,0.215,0.825,1.0,0.314938890899891,4.74082299958582,-644.540443182368,-646.910854682161
100,0.215,0.825,1.1308,0.412596657934572,3.95159303809714,-594.360560137881,-596.33635665693
100,0.215,0.825,1.25,0.0453887824689523,9.72154308888526,-621.36287040573,-626.223641950173
100,0.215,0.825,1.5,0.31891585483851,4.70509783170951,-651.116403304083,-653.468952219938
100,0.215,0.825,1.75,0.428723128828204,3.83552046968703,-629.738840670157,-631.656600905001
100,0.215,0.825,2.0,0.0132035819971612,12.6350830780329,-651.400082726239,-657.717624265256
100,0.215,0.825,0.25,1.1816205507193399e-12,61.855210552603,-490.202884353379,-521.13048962968
100,0.215,0.825,0.5,4.5816427853937e-07,35.0291950113672,-589.524898350116,-607.039495855799
100,0.215,0.825,0.75,0.0045806835400525,15.0588590568932,-599.708730810389,-607.238160338836
100,0.215,0.825,1.0,0.0730025271126497,8.56292936300019,-618.946312248963,-623.227776930463
100,0.215,0.825,1.1308,0.0012774046425456,17.9233391345108,-613.321071614019,-622.282741181274
100,0.215,0.825,1.25,0.666431664557695,2.37896642820192,-597.677322815465,-598.866806029566
100,0.215,0.825,1.5,0.255597630335552,5.32444095858637,-620.830847440209,-623.493067919502
100,0.215,0.825,1.75,0.0067917642940559,14.1632785307513,-595.577218424059,-602.658857689435
100,0.215,0.825,2.0,0.148713760604717,6.76720568751693,-619.194188854876,-622.577791698634
100,0.215,0.825,0.25,2.62504220275695e-06,31.327285712998,-490.478456137733,-506.142098994232
100,0.215,0.825,0.5,0.0026325920178874,16.3079490371908,-563.721339895467,-571.875314414063
100,0.215,0.825,0.75,0.0778560535535456,8.40384349789383,-605.568623057466,-609.770544806413
100,0.215,0.825,1.0,0.655766887842133,2.43802385025037,-587.825904661256,-589.044916586381
100,0.215,0.825,1.1308,0.0722893777587445,8.58714235745538,-616.04001409755,-620.333585276278
100,0.215,0.825,1.25,0.750881662617599,1.91776038429293,-636.78093859494,-637.739818787086
100,0.215,0.825,1.5,0.0787892896683053,8.37433127457552,-639.297332284986,-643.484497922274
100,0.215,0.825,1.75,0.195604573573419,6.04783119414492,-610.574523814064,-613.598439411136
100,0.215,0.825,2.0,0.203256580215074,5.94548585086363,-633.719076787625,-636.691819713057
100,0.215,0.825,0.25,2.10334014346213e-10,51.123596669987,-486.958736866174,-512.520535201168
100,0.215,0.825,0.5,3.62686594588747e-06,30.6390050498599,-564.88752024442,-580.20702276935
100,0.215,0.825,0.75,0.0553938352678839,9.23907216153088,-573.249345636944,-577.868881717709
100,0.215,0.825,1.0,0.0014355122623886,17.6637236717345,-646.660630686543,-655.49249252241
100,0.215,0.825,1.1308,0.0379613736523105,10.1508812775778,-616.3243336545,-621.399774293289
100,0.215,0.825,1.25,0.51250135060052,3.27752335730702,-626.5982135954,-628.236975274053
100,0.215,0.825,1.5,0.165186240994989,6.49372417160157,-584.637114806474,-587.883976892275
100,0.215,0.825,1.75,0.743124999546358,1.95995093146712,-607.565452733559,-608.545428199293
100,0.215,0.825,2.0,0.917952164079178,0.945446416010782,-655.083058008861,-655.555781216866
100,0.215,0.825,0.25,9.40326675333361e-13,62.3267550281395,-509.79216761642,-540.95554513049
100,0.215,0.825,0.5,9.75855902262364e-06,28.5255664087988,-590.772252370342,-605.035035574742
100,0.215,0.825,0.75,0.183799384630669,6.21295109288508,-598.965134725779,-602.071610272221
100,0.215,0.825,1.0,0.336995871883316,4.54712770614765,-627.316332366643,-629.589896219716
100,0.215,0.825,1.1308,0.99142981659488,0.27400553347843,-580.046409859852,-580.183412626591
100,0.215,0.825,1.25,0.856474721886319,1.32877581570347,-623.484208546636,-624.148596454487
