"n","p","q","tau","B","shape.1","shape.2","shape.3","shape.4","shape.5","scale.1","scale.2","scale.3","scale.4","scale.5","shape.mle.1","shape.mle.2","shape.mle.3","shape.mle.4","shape.mle.5","scale.mle.1","scale.mle.2","scale.mle.3","scale.mle.4","scale.mle.5","shape.lower.1","shape.lower.2","shape.lower.3","shape.lower.4","shape.lower.5","shape.upper.1","shape.upper.2","shape.upper.3","shape.upper.4","shape.upper.5","scale.lower.1","scale.lower.2","scale.lower.3","scale.lower.4","scale.lower.5","scale.upper.1","scale.upper.2","scale.upper.3","scale.upper.4","scale.upper.5","convergence","loglik"
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.2171735707416,1.12844852441908,1.06277018872678,1.07604134788656,1.33163035928228,1025.9767142748,1018.57296371026,960.742346502573,967.262564923551,854.951851429492,0.99001325188584,0.987583940732219,0.91765233718505,0.925012332654812,1.05893647092903,1.50769644791694,1.30121579973607,1.21804659625738,1.22275912080365,1.65358946847659,785.390995946209,813.20026900929,752.182913117747,761.258451649081,677.045309933866,1573.08963719127,1401.2186291318,1327.30126900424,1373.32435595837,1225.5864391323,0,-6106.95317753689
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.22941045823437,1.17319205297738,1.15786082421,1.1292758936582,1.41365616611291,925.515698404207,947.852683986152,931.022230010657,869.898906277529,784.674395329591,1.00519643081461,1.02747464238694,1.00043914568674,0.955141714747015,1.19189764168897,1.46253930908094,1.37536332262168,1.3532681489389,1.33554868821617,1.68317929297175,736.632674855535,755.219486848503,750.515902894495,694.209153403012,652.674690301615,1364.85328732257,1283.72438151288,1233.10292554473,1208.20649325752,1023.78659917461,0,-6187.66326164306
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.34608098760287,1.30395021054881,1.21763800682148,1.1564108893819,1.09058515275051,1021.14524022056,880.739946882394,729.212013849709,971.368667489302,1029.73767519378,1.05121797843258,1.10553146138617,1.06557001472221,1.01881486862895,0.953255362850275,1.73504118313614,1.55372750374577,1.39572212246319,1.31206180818817,1.24450378972473,754.583348746768,705.070257011403,618.257051773935,771.953994603864,828.250802199688,1571.08612958699,1170.66112666554,890.822047157048,1282.33871026494,1391.05310360722,0,-6127.33433364926
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.51738017784502,1.25656939569266,1.08730106103263,1.11253833780385,1.09811358312257,849.526942650927,878.792814996875,806.0529805375,1058.54423005202,1027.3493059168,1.19135151160309,1.07157534765595,0.956600648768666,0.953952118420382,0.934595420762517,1.90503870296596,1.52048866954302,1.24467306628947,1.32795677836647,1.27268859147202,669.777231534802,701.802429979523,656.796869097793,824.824257954953,804.149265416007,1241.50864862763,1186.13768824814,1021.60821392639,1502.64504552577,1426.09818741747,0,-6211.23284218971
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.26905656217327,1.21897976090601,1.1947511974574,1.04070497190177,1.1916290777139,955.796582674054,879.033809317963,782.801035584245,1401.78976102003,807.300132666867,1.10249422013653,1.05542996259461,1.05304184489634,0.846904716600251,1.04499864962306,1.44323206837002,1.42197109656582,1.36536088157175,1.26924891041133,1.3780141562233,764.394938177398,707.838214295424,651.90988877647,968.838168927916,662.740962356843,1297.69617361263,1158.89439515603,1017.60153156657,2341.44695135967,1056.38389298888,0,-6171.58854093913
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.30416910593417,1.19269374992544,1.23658524025451,1.16841309818352,1.1985219257196,864.925346862596,810.73153339074,777.04765021472,856.379963679621,775.923062009624,1.02048542822723,1.0526371651637,1.05807161364642,0.971144098352423,1.025813707016,1.68653031323567,1.40572954707314,1.4493400969571,1.50993215058232,1.39000935728098,666.556087777048,653.04839434633,628.835786261355,633.231831085043,639.537611205191,1280.07119510122,1047.48907328628,994.486135457234,1207.69245439779,1001.97967525695,0,-6413.23696971551
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.16492104739591,1.24180290049595,1.05958680339017,1.07550308494456,1.21800895422921,1181.09708121757,818.090924129053,975.809858547867,1039.08366469062,868.353013073088,0.897165779224106,1.05616783066146,0.891322700951431,0.930776313142019,1.02304776990612,1.54162492592073,1.46286754152817,1.26223111960486,1.27821307497575,1.48325502390106,825.06756962038,670.043639825672,756.258515743678,807.897853908586,690.195176591675,2037.31893130726,1091.41525149854,1404.71177882404,1476.51035816701,1186.69872999614,0,-6160.72595769144
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.30242745906795,1.3437477807403,1.19592575372022,1.10274232437946,1.21330628353141,906.89660952146,879.283982967961,731.917538660762,972.046968184268,892.678902775626,1.12834091304555,1.17906649702085,1.06939815531366,0.934031682189838,1.04792466908703,1.4865105153563,1.56401102341959,1.3600971900145,1.29373114946951,1.40733884651199,733.73313663041,721.128553931124,618.434182865043,751.002362003248,723.979499375568,1219.75651218374,1143.6229142757,898.251584034929,1379.87473623247,1159.23099787893,0,-6196.43379319142
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.14833514243849,1.22058959114445,1.16575955948231,1.05057159533841,1.15100075358609,1320.91335076716,879.648033626724,791.504586780753,1163.48168946568,877.807080751484,0.905187024834257,1.05412270785498,1.03332060301129,0.904577691397417,1.0095108150356,1.41523881608497,1.44557702206638,1.32150632709262,1.2597485694978,1.33371782874836,937.478998280086,703.862487925086,644.76730000174,883.898919408265,717.276893533084,2184.02003069011,1199.88538250698,985.504220033936,1743.03641772352,1176.24593948494,0,-6065.55679344698
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.39387851939568,1.20053696739072,1.06080595474191,1.03328985845776,1.29785438330743,967.574649319511,970.827309240964,843.467776267963,1094.9415414501,835.940361522071,1.14494206401043,1.00638751680092,0.937147654619741,0.896979144955586,1.09557845966801,1.79151250627537,1.43460178267955,1.19205376584898,1.21373820073408,1.51559167963432,733.751982588135,753.928406872327,693.806608356148,832.038674661895,694.029654815025,1387.46351621314,1384.75994083139,1086.53983700823,1510.67919834505,1137.02305353585,0,-6179.66484557331
