"n","p","q","tau","B","shape3","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
100,0.215,0.825,287.741115498861,10,0.456,1.4793842432356,1.27382431895509,0.465661849119662,0.749017359108018,1.1531998210659,882.237874748575,907.518198941928,410.166167019982,3403.19437952222,794.934307437474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-526.894063523387
100,0.215,0.825,287.741115498861,10,0.456,4.2067655121614,0.965655541382556,0.492108535787635,1.58631168767131,1.74689494812523,2416.59166638814,807.462870895424,220.215684329101,678.713415172969,669.073722845261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-555.68402839863
100,0.215,0.825,291.236492030796,10,0.5,1.50888905594658,1.18289806741805,0.581060275443267,1.28991254013415,1.13215162539964,489.890028199615,1446.94049246691,472.336404979748,971.600022729364,756.301154621026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-568.655858912349
100,0.215,0.825,291.236492030796,10,0.5,2.80204539059222,0.987720333417821,0.665886147856686,0.961581300258709,0.663452220837682,425.711082923033,895.657371888414,413.299371826805,1851.76451028097,4717.63031114701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-570.10853182496
100,0.215,0.825,287.741115498861,750,0.456,1.49998900201431,1.52758593597337,0.341955916329775,0.82757767267625,1.21292400109715,1111.1131476897,1035.49909907729,1222.16576328579,1268.62399883563,668.012788712107,0.884778410963161,0.893675283576698,0.259787788951211,0.563297870023032,0.446135178762062,6.19081718553092,5.90874270832301,0.442409234939175,1.35785818562669,2.0496886796853,359.452226329421,453.954320466354,463.221536799983,572.547888762962,389.578955373204,5337.68222498458,4019.26896580078,5690.49436705517,6315.83321669357,14747.5896731351,-507.328368794757
100,0.215,0.825,287.741115498861,750,0.456,0.54189315066588,1.20980544064602,0.480864020158181,1.09296933732491,1.52255995126941,27128.814086673,643.852796115389,408.201246855921,1258.01299601997,506.754703811011,0.35673336156567,0.948267642490925,0.319232843639491,0.637072313662604,0.952889734127459,2.50809655732002,1.77685599984876,0.62888135227307,2.2681969794977,2.48403239356928,1351.70086907143,372.060321646364,216.585864369423,522.960764888497,340.105014129531,673677.848651839,1819.91979322125,1101.94788423057,26910.6951905915,1488.99209774891,-549.729284399759
100,0.215,0.825,287.741115498861,750,0.456,2.4706808276939,2.10659366268711,0.392923458698101,1.64251006454278,1.45829490699196,416.784405797326,783.907214839053,721.905114004448,493.524395992446,536.345648537978,1.23367330707214,0.908120117044497,0.289982993232473,1.12805309321992,1.03681162531644,6.09828527529995,6.53259638582292,0.514873376698497,5.34529909717061,2.19276238834512,317.372243126904,335.084005703555,307.563478131682,323.828410869824,333.119084414476,1498.37298949201,3062.27141130155,2314.58021338303,1450.14037641898,1361.91530130884,-553.039906472845
100,0.215,0.825,287.741115498861,750,0.456,4.7197824115105,1.18771230480561,0.467827819734677,0.918495099794153,1.39162098588063,2667.06288973793,1112.32960696196,229.580679329144,2501.40598665785,943.437299732332,4.70582235770193,0.708592037595153,0.367170051932234,0.606340043232668,0.85472680135224,4.70582235770193,2.23741239061783,0.619810064065941,1.38910662615071,4.17440915893569,2663.4668792822,505.072856173881,143.334222419501,740.882421012421,467.69475330172,2663.4668792822,7396.45127236815,460.184999160818,14364.4039525453,9528.19967141573,-509.047724134203
100,0.215,0.825,287.741115498861,750,0.456,1.4355770029079,0.756919167924762,0.515252707746865,1.38942950640672,1.54879359948878,929.726746805496,1927.90070239114,423.11965451565,884.605246776427,593.671644245011,0.617802787046096,0.442349106501214,0.354084406956584,0.780017907449735,1.03686479080031,3.29056708141938,1.13147215020396,0.679768002300027,5.24908805753696,3.77237903140607,432.337248869818,675.323553160413,234.17372278181,434.776194602921,375.771592177307,12327.1005036136,23412.3416574614,1197.67489408493,3775.95484046624,2023.75578505203,-546.996661581719
100,0.215,0.825,287.741115498861,750,0.456,1.26430776174216,1.14173107104573,0.550054855365318,1.43423120947006,0.948828790380714,833.211638581504,959.10595723,491.704331639992,1076.80281313963,2475.40907541457,0.671047825553912,0.581803195642449,0.397535742251342,1.0272680229794,0.636199991279222,6.60170163699405,5.14970450723612,0.766492278460067,28.8835355534679,4.460141422488,357.471145389261,365.960578071173,275.893226609814,307.98624709362,757.858553035437,10831.6047507954,17435.5183389144,1349.01797260418,5752.77078963676,12067.1462821292,-547.490137394188
