"n"  ,"p"   ,"q"   ,"tau"            ,"B"  ,"shape.mle.1"     ,"shape.mle.2"     ,"shape.mle.3"     ,"shape.mle.4"     ,"shape.mle.5"     ,"scale.mle.1"      ,"scale.mle.2"     ,"scale.mle.3"      ,"scale.mle.4"     ,"scale.mle.5"     ,"shape.lower.1"   ,"shape.lower.2"   ,"shape.lower.3"   ,"shape.lower.4"   ,"shape.lower.5"   ,"shape.upper.1"     ,"shape.upper.2"   ,"shape.upper.3"   ,"shape.upper.4"   ,"shape.upper.5"   ,"scale.lower.1"   ,"scale.lower.2"   ,"scale.lower.3"   ,"scale.lower.4"  ,"scale.lower.5"   ,"scale.upper.1"       ,"scale.upper.2"     ,"scale.upper.3"       ,"scale.upper.4"     ,"scale.upper.5"
  50 ,0.215 ,0.825 ,377.709824077126 ,1000 ,2.70088463379881  ,1.09149924179673  ,1.80731241647112  ,2.38620763366623  ,0.866192491982951 ,  566.359815107285 , 949.690897634115 ,  407.611941420596 , 420.272902012987 ,1907.36329510562  ,2.03042754440986  ,0.377985530608233 ,0.909887079116928 ,1.66541198335907  ,0.404073523148604 ,   7.88282373694215 , 2.16911010235734 , 2.64269697463574 , 3.88752789996835 , 1.49337579718655 , 381.186600860319 , 445.616247004403 , 302.129172776091 ,321.970530838919 , 589.495810953245 ,    2147.34132473999  , 32290.2302808736   ,     785.884925678614 ,   707.698757576376 , 83060.4970920247   
  50 ,0.215 ,0.825 ,377.709824077126 ,1000 ,0.660141325857543 ,1.21257875114959  ,0.972240671989207 ,1.23050133105444  ,1.00033817681761  , 7487.44477560733  , 845.789763556386 ,  539.037679348894 ,1009.84111760218  ,1631.73432343618  ,0.277674710960573 ,0.632570894503993 ,0.675928391017308 ,0.660955169996685 ,0.527185589144558 ,   2.89056861144492 , 5.05593631869148 , 1.71754916653979 , 2.57904632708362 , 4.43833936316025 , 436.178338527217 , 456.267705557781 , 329.999897404726 ,521.420285218591 , 580.655749513047 ,15405815.0983273      , 29349.900302703    ,    1651.24248437799  , 29397.6487544229   , 23155.9122426177   
  50 ,0.215 ,0.825 ,377.709824077126 ,1000 ,0.742983756395584 ,1.60076865653773  ,1.26307544691939  ,0.889682206757762 ,1.37810687847133  , 1896.36706651057  , 457.954363536359 ,  693.840277794012 ,1191.58508560755  , 959.794181124539 ,0.378131231754831 ,0.949723035254177 ,0.565920667050766 ,0.6952038894219   ,0.610277722093532 ,   1.34414194583905 , 2.80220285787307 , 1.85131880643006 , 1.14541029973311 , 5.63931874787071 , 612.165348266756 , 310.816525872184 , 367.950764113991 ,425.60729192025  , 420.286576476858 ,   30213.9710835989   ,  1355.80097592132  ,    3886.43977988854  ,  5700.35971218271  ,  4579.2640897325   
  50 ,0.215 ,0.825 ,377.709824077126 ,1000 ,1.3134708989185   ,1.31798194487422  ,1.49666243094418  ,1.10456171048749  ,1.10754330288258  ,  773.84774879635  , 840.721580377651 ,  526.434502330998 ,1471.84755344121  ,1110.39637371467  ,0.827644831969953 ,0.620706133454188 ,0.795216579862117 ,0.704890781528744 ,0.510733878281893 ,   2.52245095073823 , 9.22967371136813 ,24.9524275682597  ,12.3130966845403  , 4.17220151030113 , 438.882485030827 , 395.97015639061  , 360.807558717741 ,453.857284475035 , 458.036572591285 ,    4858.41090230151  ,  8697.37815260078  ,    3975.44502932538  , 20048.6887022806   , 35431.2044123176   
  50 ,0.215 ,0.825 ,377.709824077126 ,1000 ,0.723463267533553 ,0.97186052722018  ,0.985054434570473 ,3.32610460020167  ,0.873017167180634 , 5651.19086652039  , 915.312106138362 ,  596.039675290163 , 702.269510942337 ,1257.98565628627  ,0.392654622364416 ,0.685386102868674 ,0.529400292997169 ,0.967936941821447 ,0.583548914358106 ,   3.62780762225804 , 2.73758624329817 , 2.03826715912787 , 7.99841824939514 , 2.9257399761802  , 554.833027516317 , 451.627056757141 , 354.331323083054 ,382.718082369136 , 501.12063990228  ,   35991.3438668006   ,  5568.41104332656  ,    3977.2471144853   ,  2695.55151376673  , 10271.569081508    
  50 ,0.215 ,0.825 ,377.709824077126 ,1000 ,1.45081576213705  ,1.17060492077982  ,0.826459350371952 ,1.42077837308108  ,0.813786705233288 ,  642.08398103468  , 827.170811458206 ,  861.289051550388 , 633.642489579615 ,2708.14924646828  ,0.705531650527558 ,0.853995222225209 ,0.441364073691732 ,0.588454290917001 ,0.604701460333061 ,   2.29732607498727 , 1.71844772654601 , 1.44490783721869 , 3.20336037192454 , 4.14490960494348 , 355.566817920488 , 410.184447546544 , 410.691398366791 ,371.816325271826 , 632.473299143263 ,    2751.2714571154   ,  4487.72410117993  ,   14439.0624278161   ,  7764.37262503631  , 11985.544485193    
  50 ,0.215 ,0.825 ,377.709824077126 ,1000 ,1.22632568609669  ,1.40887737781428  ,1.09338309693953  ,0.786797714579473 ,1.30428262652518  ,  840.478065590009 , 744.415804125777 , 1026.52775617222  ,2450.80631929732  ,2511.29231517109  ,0.747304260696636 ,0.882018825092183 ,0.502868084219921 ,0.436697845837674 ,0.537898266467048 ,   2.42269633030065 , 2.09117926487637 , 3.82773162487419 , 1.81495950304204 , 5.08356542952343 , 451.207641987332 , 433.742030271402 , 486.723453776234 ,724.922619938361 , 431.278397353255 ,    4128.24012972197  ,  2150.93877607379  ,   16391.9963422532   ,122460.314770529    ,  9362.74257842042  
  50 ,0.215 ,0.825 ,377.709824077126 ,1000 ,2.26694106850215  ,2.14327166795557  ,0.915895230093377 ,0.793619599410651 ,1.53097941468137  ,  616.048185955084 , 576.720211951898 ,  949.176952716906 ,3123.68074982535  ,1032.87906626259  ,1.22833484623573  ,1.48298520976496  ,0.648433125255983 ,0.402695202882171 ,0.766723052425186 ,   7.61852093956752 , 8.03553796634527 , 1.95523326593035 , 7.90824889042351 , 7.40565460821218 , 422.218261725732 , 389.351163990473 , 446.305398107609 ,452.9773359467   , 435.899963224895 ,    3095.92416737011  ,  2417.28947617414  ,    4918.80433167142  , 93081.4899177435   ,  8306.54822537285  
  50 ,0.215 ,0.825 ,377.709824077126 ,1000 ,1.41406146513209  ,0.818795930666678 ,5.52005678577732  ,1.26093950153023  ,1.25813672804261  ,  516.526124402359 , 563.218792357787 ,  471.313359348705 ,1046.37921288406  , 614.22314230609  ,0.51145695866071  ,0.562869174652565 ,0.82164622738341  ,0.794688330852783 ,0.725002230021723 ,   2.47322421055391 , 1.49057559919792 ,16.5886298345164  , 4.00768121104753 , 2.68785317914055 , 330.753836242404 , 314.975442906343 , 373.951933442151 ,419.767751048422 , 341.608034473505 ,    5098.12946802424  ,  1915.50545503605  ,    1958.84047647997  ,  4580.32370028388  ,  2488.96525227936  
  50 ,0.215 ,0.825 ,377.709824077126 ,1000 ,1.12557728151679  ,0.99829450360075  ,1.20640351827453  ,1.5729873215953   ,1.85372380138661  ,  822.14407946027  , 923.063619579665 ,  730.820907567267 , 821.31554632298  , 535.698359868633 ,0.516860134896936 ,0.548239979756943 ,0.632218387774047 ,0.907625791932765 ,0.741012497533022 ,   2.09551320330879 , 2.7043483730647  , 3.31805189616734 ,35.4103379771868  ,16.5671937738019  , 407.552179154455 , 425.96357355656  , 395.531111273605 ,385.644114657652 , 378.992672489674 ,   11380.9312784061   ,  9474.79949106891  ,    4145.18337727358  ,  6211.13738119158  ,  3930.67326069148  
