"n","p","q","tau","B","scale3","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
100,0.215,0.825,410.923395060473,600,1340.1141,0.954963002626944,0.846651667159562,1.12038093782957,1.08312133071654,1.49051375386129,1332.26642942251,1166.17524331177,3429.87948049804,1102.44690362694,787.489013507964,0.455679547317433,0.569206870422745,0.670333708501234,0.80098504229287,1.01326290994276,1.77134601464015,1.24589482911702,4.55038912504104,1.64096802154237,2.55671363718555,633.428272244012,675.619546634043,963.436933204071,631.259864313072,508.485196242481,108538.621822692,5810.51001604133,44772.7460715788,3235.63461177102,1681.57093359931,-596.624890760035
100,0.215,0.825,410.923395060473,600,1340.1141,1.78250449235672,1.23641087541207,1.60102960034054,0.881089155551553,0.790577704001973,665.821878016306,827.543101536306,1083.12953939987,1046.91769793407,1790.99953188355,1.0823645048835,0.861175507474684,1.07234902428318,0.67132354048793,0.524637535986238,3.30204470013482,3.00830719046721,6.18905904645721,1.27654041252788,1.26919769696572,472.160073130596,505.63381673448,550.631014442295,582.106304620779,767.600789667715,1496.0445273334,2434.35032875748,3768.09833153128,3154.74522616163,7884.93959448013,-633.492568660514
100,0.215,0.825,410.923395060473,600,1340.1141,1.31318159436793,1.15350267499076,1.59239500399316,1.65838870901794,1.21273758879556,726.255624983699,701.403529660019,580.404918832445,698.643324311202,698.82515324746,0.846680136321811,0.782663744961097,1.17533570440624,1.16654693914035,0.981458899745121,2.28782438080245,1.76415427389963,2.19939054538475,6.83238680121339,1.6874842414032,445.551996641027,436.240634466232,408.252949696194,447.821452920171,432.837229340255,3259.82934139574,1876.47074619618,1094.22994759423,3197.07560080984,1707.89525433098,-655.532002075727
100,0.215,0.825,410.923395060473,600,1340.1141,1.20114525312566,1.27666972903373,0.604239316009219,1.18882138066857,1.78902683263288,834.748262308839,820.725746935185,18165.3893319413,844.446099827906,792.694845151873,0.902206323200984,0.914877341749921,0.269479842159274,0.756512758486738,0.93291634895265,1.67850289635538,1.88793202524123,2.2274082045965,1.70005328479251,3.41752396895569,532.060946478313,553.104506020873,1063.50987617478,557.1316905653,524.144092063634,1657.25447026329,2078.13065884077,140780226.38805,2566.08768927968,2723.80905737966,-603.977114033418
100,0.215,0.825,410.923395060473,600,1340.1141,1.57577619130597,1.36701923414463,3.15553511893637,0.962319478598253,1.14863928363363,526.958931539904,690.535074403966,764.775065131187,1549.88322593197,715.278762529089,1.18073035024758,0.782832400280974,0.504392580733172,0.51875606462288,0.73659070395639,2.28970588245686,2.43573321280073,9.89931906649184,1.54378003857188,1.98888032186746,402.751234234809,474.607153039125,487.652249305289,723.240410502941,460.831166758383,840.158558853098,1920.19147043016,8295.84499359368,37533.0340784375,2562.74996541674,-655.787125911528
100,0.215,0.825,420.304298141518,600,1590.1141,1.3427370457919,1.40537207463685,0.881168639706923,0.930086770603478,0.982326049534949,753.970764160075,856.918382714768,3007.94056156722,1183.84572081474,1962.08425472492,0.547654957236546,0.554836731560517,0.660472872331856,0.573494661849166,0.585033103239232,2.40429821701317,2.61566219632006,1.38836535511445,1.71446629869601,1.34933169852529,510.542918046313,564.912574743644,1082.75584347153,607.218073249228,920.696822289967,5358.47306485447,8735.63559154306,23879.2905366626,5636.05284993066,19776.1838203118,-613.517706044255
100,0.215,0.825,420.304298141518,600,1590.1141,1.47951488534112,1.43266447250701,1.3588486580988,1.05914821854276,1.38962031755578,1333.77326451582,681.786045389957,1246.24498618982,1507.12785679764,673.348671686945,0.78515699101929,1.00933562050532,0.733834299584483,0.61373226096029,0.776531872307807,6.17235865267643,2.20963392810998,4.24583231858283,2.77443751743383,2.36306346911968,660.093340930756,491.303588332947,610.754978753862,655.489618623797,468.13057296854,6307.99816914164,1538.47961703433,9348.25537999579,7784.7591907738,1762.44246957402,-609.147684005248
100,0.215,0.825,420.304298141518,600,1590.1141,2.83181234180584,1.09469125531178,0.760370013437507,1.27961864327831,1.23995051848017,600.62409987823,1076.80465903785,5402.10270415907,956.78558313965,995.082958465177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-626.390849328834
100,0.215,0.825,420.304298141518,600,1590.1141,1.48507680681242,1.26909172388732,1.37193113907251,1.78936400260342,1.12840247579863,669.841811359653,3032.46970690956,1395.71850298422,539.310918519963,1096.67793101972,1.11943884132594,0.708095005603538,0.866471309888986,1.36528689784659,0.815896630037778,2.02602655590323,4.46589954498391,2.38346409041599,2.46832609243232,1.67887431804808,479.695958654686,599.56214584518,710.581130559711,423.520629911019,617.673221943092,1124.73395530756,8600.92727401851,5368.52155752501,773.665462555706,3175.67412677858,-608.244463285527
100,0.215,0.825,420.304298141518,600,1590.1141,1.17365878232469,1.30867207013979,0.989083005995597,0.834157161492409,1.37443106014421,989.663745689312,761.304049817537,1923.38784624046,2432.30204358433,808.225725038295,0.771859751451677,0.692971326004431,0.800697176520363,0.39112884983951,0.921990022632371,2.83628915636672,1.9160646050143,1.33284992026505,1.3506213112723,1.94407887934603,503.007456972206,510.613827411948,840.0981703577,908.513153734262,536.89478211464,3552.40648526542,3510.75753260086,7676.69810182514,126060.859458968,1820.66748976483,-606.235204336037
