n,p,q,tau,B,shape.mle.1,shape.mle.2,shape.mle.3,shape.mle.4,shape.mle.5,scale.mle.1,scale.mle.2,scale.mle.3,scale.mle.4,scale.mle.5,shape.lower.1,shape.lower.2,shape.lower.3,shape.lower.4,shape.lower.5,shape.upper.1,shape.upper.2,shape.upper.3,shape.upper.4,shape.upper.5,scale.lower.1,scale.lower.2,scale.lower.3,scale.lower.4,scale.lower.5,scale.upper.1,scale.upper.2,scale.upper.3,scale.upper.4,scale.upper.5,shape.1,scale.1,shape.2,scale.2,shape.3,scale.3,shape.4,scale.4,shape.5,scale.5
100,0.215,0.825,377.709824077126,500,1.23520514754154,1.69479840624929,0.991656240437452,1.12908964206246,0.766614650591803,789.344187317141,872.939524376438,1406.87559682084,996.21304931883,1049.48901296028,0.834477817300941,0.969416326862924,0.638487235495624,0.559580244606952,0.612323157726813,2.08730705187816,10.9117991393698,2.32424723166987,3.00731524157,1.13111049504935,468.592599207389,444.548382814534,628.265048044867,519.237775839383,584.768357456666,2027.12879046993,5121.21685322888,11150.9045220565,13372.8173411206,3196.88047677641,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,377.709824077126,500,0.865635736136692,0.982226773389718,1.14469297637797,2.55854633535277,1.24419224734812,2847.90138844914,1244.12169338445,781.079959394027,490.378825289285,921.409111948982,0.606877103821905,0.664542651572682,0.826908922914058,1.03065947629363,0.836275283429964,1.79751418032743,2.64480184669645,1.7996575451298,4.12872503824112,1.98091631219259,904.557329177636,623.839383908472,504.207592108229,406.651347397936,552.693679429921,27736.6712225404,7267.47939491895,1891.77218574397,1029.53591282147,2869.64014856648,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,377.709824077126,500,1.14134324543841,1.30826265664334,0.752035362470216,1.12221046871019,1.6605095009532,1240.44373379249,1041.7398761477,1137.64360925629,1250.49347535226,598.368614700819,0.668429731106858,0.718038909436819,0.509760165814975,0.519637252375515,1.18217606338166,2.33892425251701,2.17487524655726,1.05781023022572,2.51518619034336,2.49366691464338,620.068075140163,591.680763570712,580.99882800711,536.014475934102,426.681847663919,9698.48482898647,11242.4085532891,4036.22213051737,34875.5141053003,1115.13930193542,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,377.709824077126,500,1.00271804639888,1.13794168654846,1.22821352850607,1.36084304936771,1.83907978768201,2144.55027489359,612.395492662132,877.077688985734,809.984496210165,668.666792260083,0.546179570018262,0.799567921237199,0.973346263452069,0.89978346465781,1.34313393983277,1.81584981017087,1.52014826591669,1.64756844206,2.40892422513461,3.17970367248851,761.796368053346,418.548878610201,552.020421266278,485.325376501259,467.51887601573,50661.7270769104,1342.73544990033,2279.38447772597,2579.26102179689,1316.4802571327,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,377.709824077126,500,1.27309368106742,1.09683940312486,1.33660907219603,0.951496854216821,1.37704700896289,1057.04930666548,1333.88622426926,621.49904098939,1689.44218712967,972.132265707859,0.870146197316142,0.712522244987379,0.723922755063027,0.445455243989911,0.700340978555585,2.38560767177083,1.68263070351376,2.24458572508589,2.14995124176714,2.62933818514564,577.230065216915,696.46808200361,435.887428315186,613.526387702019,542.5939525776,5217.59490734461,7124.70167422284,1851.48886824535,32870.052442168,4035.46429422013,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,377.709824077126,500,0.942239683977918,1.36970522822416,1.91675589342868,1.12226847219901,1.13776295832076,1316.67695745587,572.783083765047,622.485512966355,1003.99768413594,963.067339887777,0.493454611566716,1.02460252886816,0.549334058918944,0.672569552348528,0.60667463381094,1.42497376965025,2.08329636420401,4.13366973843276,1.67958115294125,1.95594488969396,610.654428192462,398.327078822397,426.652393668356,524.07673676657,516.07560513793,20610.4631662173,1071.907890567,5294.35973760304,4398.92182192324,6841.08346078033,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,377.709824077126,500,1.50723655786268,1.20572068440172,1.25869007340452,1.5097896656406,1.63867023246924,1003.88498404771,1287.1985062174,674.579650513413,741.392171641814,570.12680252662,0.822478557388035,0.581355066396618,0.988540679756851,1.05423675358671,1.09175943486358,3.52789087518965,1.88397636026605,1.68649263470056,3.74734385052403,2.38265029937456,567.867346301142,667.488824910809,448.136313944369,474.627820131287,428.324402370114,4626.20956012201,9529.38750204546,1362.27366992514,2337.33600739953,1259.9945592063,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,377.709824077126,500,1.29130136461936,0.791573537035515,0.650010230648639,1.27241862451689,1.8351953487759,930.028027004019,1368.88492761658,5146.2195756916,753.353814059741,649.195140750414,0.698931845043073,0.482947309295906,0.353503957117186,0.91150855624211,1.07853110736531,2.55933776429651,1.24690873633396,1.14554500579897,1.61357178784976,3.59994365467321,508.556605063686,589.357600367405,1060.50501710858,477.844692851781,440.949116468564,9124.25874063183,8133.76528903267,184167.744765076,1507.9462071132,1599.54552437963,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,377.709824077126,500,1.32750446790741,1.26229007412344,0.699438502601513,0.918163907450464,1.14763075081529,847.69594636845,734.893960184274,3818.64526876088,1321.70483965389,1660.80728929827,1.00587957224054,0.934761415801781,0.463367753294378,0.481602655697196,0.605118726590301,3.03575049119428,1.78035584029218,1.24534370107089,2.43850277393482,2.91274438953089,529.718295036308,494.739721367057,1177.7624520101,544.900052151449,681.973857857599,2402.05724432795,1596.60911710674,92686.3529862858,24074.6088182712,20169.548632207,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,377.709824077126,500,0.92900058646844,0.929257788050606,1.28981057695812,1.1148634929643,0.890597951037845,1935.89871054418,1050.29923787165,763.352812372872,663.55922448064,4448.018106291,0.558124154521325,0.579514799502406,1.00397263703503,0.78786735652032,0.446301354038618,9.47332970557448,1.5947374155135,2.04240548242657,2.31191231983842,4.32178453683631,442.930584452164,578.593681821885,471.081516856018,422.381600556092,531.610658624406,24772.221972761,4344.60520090574,1745.83685328286,1474.08202450852,296344.472285975,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
