"n","p","q","tau","B","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.perc.1","shapes.lower.perc.2","shapes.lower.perc.3","shapes.lower.perc.4","shapes.lower.perc.5","shapes.upper.perc.1","shapes.upper.perc.2","shapes.upper.perc.3","shapes.upper.perc.4","shapes.upper.perc.5","scales.lower.perc.1","scales.lower.perc.2","scales.lower.perc.3","scales.lower.perc.4","scales.lower.perc.5","scales.upper.perc.1","scales.upper.perc.2","scales.upper.perc.3","scales.upper.perc.4","scales.upper.perc.5","logliks"
100,0.215,0.825,377.709824077126,500,1.24656599066717,1.0691566557798,1.06213280103957,1.66395060677561,1.27554171483631,688.795137424701,1669.0006857479,710.949740258094,788.537139294619,745.782460901248,0.910380322276018,0.734354227525179,0.818563713077673,1.00392233140446,0.946646869931402,2.16502811611925,1.68736339914017,1.44572153512343,5.81284392292494,1.76033418427016,446.543603669497,744.934054951388,447.23560123029,453.422547144283,478.125913094771,1654.6464139381,8236.41069038301,1593.19871572082,2951.72972829874,1756.24750766535,-620.395722858018
100,0.215,0.825,377.709824077126,500,2.58400474770978,1.01266774852649,1.01623875154922,1.02248637138165,1.61003034849299,548.774729116377,887.765629462744,562.326732479928,2336.48151669487,490.478707873984,1.09052836259856,0.744257726006516,0.804731203830872,0.532876831921354,1.28856366627851,6.19955021655398,2.80424685436798,1.30160750338109,7.71689286809919,2.15989494759548,414.150626782392,455.545396913881,372.337455939863,410.530564462571,368.204252940381,1574.17209888583,2256.17538865455,1017.39682641275,115470.197319878,743.540989293593,-646.053801232634
100,0.215,0.825,377.709824077126,500,1.20528265305044,1.17848681911386,1.58569447331812,1.37077606371529,1.14433323866397,910.980501399062,858.971979513569,555.960421764229,657.881480716367,855.530126609986,0.834191865786695,0.776835161411096,1.05414225146686,1.00935089420784,0.815397573388608,2.63936540181643,2.01278644388041,4.14080867939772,2.000261885891,1.60886917674732,504.980638604146,492.60943354457,393.052275423997,415.210193121651,489.380848516437,3611.98185217046,3402.60947625469,1088.31601199253,1474.32953975661,2432.78756777092,-638.912946021498
100,0.215,0.825,377.709824077126,500,1.27245011688739,1.22979158857388,1.65405619533982,1.22218738349167,0.916798272546447,972.008033654924,1231.9307461318,484.350039371063,758.606602551587,2153.13259714287,0.798914979062547,0.661305868489421,1.13180122454499,0.79698092392671,0.519966831864743,3.5643700485316,5.20271421144663,2.88479391991521,2.1510127276603,2.4683009733986,495.443197620311,485.774971426479,372.739652893803,439.811011946383,648.206505966388,4211.41254748585,7192.22244118935,807.351893037453,2056.74130629854,49806.0916384177,-625.324456823148
100,0.215,0.825,377.709824077126,500,1.61334313121362,1.28738447875605,0.905380725124952,1.19308973049733,1.11247899133712,742.732908643787,1008.86503038843,994.968955819507,639.336584988575,968.186506261915,1.1445540022504,0.501013143192989,0.689368993214924,0.824593091844063,0.729577584509459,6.71658067863177,3.95308185768824,1.28258583459508,2.21505350367883,2.32988623791717,438.641566612381,476.228202404795,529.5267501726,426.339739541098,493.406989726197,2916.59184990156,72608.013484131,2757.8104587627,1311.25068563351,3417.67022213507,-623.920121901333
100,0.215,0.825,377.709824077126,500,1.65212240355753,0.995555505723691,0.99600753516183,0.803573245367305,2.02754633220927,669.020198918418,889.518025139339,952.695635079707,1881.15777793169,761.136004635953,0.940217072378204,0.720115430347885,0.706303826628395,0.50325000196814,0.830887303003397,2.88040698079331,1.43404794532348,1.94658814375779,1.92304592518808,14.8187091241726,458.287352828773,533.174243719535,489.046455083162,671.23230060693,432.559605446564,1962.53097618294,2294.62647392823,2536.66849903464,17587.1183085781,3945.55284643197,-617.730167109262
100,0.215,0.825,377.709824077126,500,0.951672984649974,0.927483025685227,1.0741359799217,1.71499215086589,0.983545272865762,1625.68870451346,2644.47545155977,596.991838994091,518.068356184178,1714.63252840467,0.706707366066065,0.713631144522649,0.788361137095752,1.17537989741062,0.586205188458068,2.51475712021165,3.84846048460218,1.89135340834522,2.4598194557132,3.70809170571719,695.777727759405,848.834777156406,381.718412791201,380.970433449428,596.068086807551,8205.89163158591,18952.4232269818,1323.75147373968,947.322808757851,20970.9125710874,-606.956344060721
100,0.215,0.825,377.709824077126,500,1.85931918985717,0.897031206236732,0.882872722007184,1.16666525340117,0.870692777147599,594.584496885731,2107.71196675977,1298.53066372303,741.303809620745,1698.32745370787,1.16732051679059,0.49609416108512,0.67831539796652,0.835627118656089,0.661316725273136,4.15281336960007,9.28370077355151,1.410700503085,1.95956400744843,1.29467637726068,431.492878890943,436.747907863241,617.928639332514,469.003608123664,774.689434751541,1033.31675199698,32722.8732994249,4035.19245542079,1860.77080201226,8056.21706799456,-615.377750757761
100,0.215,0.825,377.709824077126,500,1.22363152385448,1.13158480465729,1.05820365205854,1.05071769394545,2.59657912444254,997.703231694228,816.731341131089,893.608845136206,920.721317191561,560.939060066461,0.954556767747792,0.757076729083703,0.73810186118225,0.689856412754829,1.52620141421311,1.64709821636336,2.42472150329879,2.10505525167032,1.75784410461602,6.53841195487637,586.343232486587,464.982036666151,476.82318702305,514.266149341702,417.121660654916,2276.6253715406,2235.10634053052,2426.64265239818,3334.71979313681,1262.46483951616,-628.404619990748
100,0.215,0.825,377.709824077126,500,1.6040954222337,1.27108099268885,0.873371694311051,0.916499367894777,2.60485717067542,664.384652005815,1060.99319150339,3299.0848748252,920.344705708255,692.805431577806,1.04602893702747,0.671615848567916,0.524123063720775,0.720190073822278,1.14356300263393,3.26488618286625,4.53693389187714,8.6294427272233,1.18905246017247,7.06498143681284,461.949097311646,493.462761069117,437.861703783045,513.892576285622,465.249990211738,1494.18295506748,5887.45359916662,53739.8604568184,2555.3972272618,3522.03551078858,-582.427372660403
