"n","p","q","tau","B","scale3","MTTB","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
200,0.215,0.825,335.251261891398,200,540.1141,924.869251041088,1.19714453701617,1.42291174436587,1.1025060177173,1.03061425617381,1.080702418828,1010.28151301437,672.463593732652,545.192101009982,1331.75310070989,1343.56113397749,0.864471976152434,1.03039885341023,0.840264947059595,0.654380989408968,0.569560693680804,2.15115105086975,1.98326481868987,1.40172172455993,2.22190051987762,2.29971489315516,591.006293176713,467.495476846694,418.247772349902,566.550449652285,593.837902086314,3224.24948274151,1188.16047617536,908.37612107603,11085.5525331728,26459.3399386197,-1199.14793351954
200,0.215,0.825,335.251261891398,200,540.1141,862.156781140884,1.4043440818689,0.956114991935438,1.27449581499106,0.934973368299916,1.52158275038357,704.715998653106,1177.49469276059,513.251289501491,1307.31328141895,558.825833945627,0.878715984139035,0.573588240098717,0.914932859594461,0.530348754309831,1.14364933859449,2.31741498010545,1.51959090967714,1.96795964312346,1.8226109624859,2.14851704566513,448.236284647556,591.90911950229,405.883701054379,583.69361572437,394.587269716385,1806.34975829656,8148.23137816248,1136.16353454804,8966.87821104708,1074.91945656487,-1275.39429399287
200,0.215,0.825,335.251261891398,200,540.1141,516.615756945003,1.43120122203239,0.908158451030667,1.07519219777525,0.870163170313811,0.905149550632727,697.498908858586,1720.13613769614,524.606538850797,1729.83432226491,1801.48109841744,1.11302462438666,0.636895632301786,0.781326280311574,0.563818312364649,0.576246449851306,2.14369367150782,1.28121961131567,1.59464446539234,1.35147258636589,1.42409192711937,488.387907773233,998.282150002883,401.96171001556,853.675515254435,719.674578785228,1302.00001555904,7029.5438103821,923.398608357322,8564.92228658393,13568.2586484168,-1195.61876967601
200,0.215,0.825,335.251261891398,200,540.1141,888.237043479758,1.00484778750669,0.877673674943481,1.34840199315735,1.67523835532993,1.14765608001535,1013.55184264603,1434.09326294002,453.357106676413,732.243795852974,800.967933999597,0.672586370711669,0.702965842795661,1.0079577874672,0.718030869101745,0.838945189356,1.77832287991816,1.14286873003655,1.99305541217033,2.92197500974801,1.70200108497847,549.703850222383,825.850120445598,368.79008574776,494.726951274895,524.539185245524,3215.10400162087,4382.89926358196,664.503360666401,6603.56789655732,1776.82005083473,-1255.00662705194
200,0.215,0.825,335.251261891398,200,540.1141,867.748422798067,1.15721253892959,1.43152984946034,1.26641489024173,1.15262893834791,1.24854879541436,2001.16728922592,788.469233573404,477.85341184733,694.45754332981,709.04089956764,0.774065722793389,1.01056820338129,0.973498243530531,0.891718315652419,0.989819892058838,11.7354535247942,2.12661364550286,1.70039839779799,1.49570639933713,2.15499845965242,391.65942575857,529.858292653725,381.826127034533,491.996820157157,474.276784734348,19482.1129141607,2559.22863599083,779.433841899704,1473.90677766962,1581.92352841702,-1238.04248323909
200,0.215,0.825,335.251261891398,200,540.1141,924.869251041088,1.28132683876375,1.33753641961755,0.994654863076089,1.40956741588591,1.18228073001013,1204.43558530815,811.246169919646,631.279826980458,1032.09441209298,862.864249997963,0.801129049199678,1.0460906808343,0.79630308656705,0.960875711996141,0.839549069132629,1.71153711618761,1.81841033638563,1.33577667350128,2.21481410683131,1.77486179911666,761.413492815688,544.42275278244,433.833405223261,617.162511312026,554.428028365587,7728.5099642554,1613.45621892601,984.551173973827,7543.41654040539,1750.79251998537,-1177.31040263817
200,0.215,0.825,335.251261891398,200,540.1141,862.156781140884,1.72805908718435,1.14765303548245,0.997457325614342,1.47580256085158,1.19428298457483,774.150916028624,736.563571929266,585.619652239607,624.378092859871,1689.43839828877,1.10158357836505,0.819443281099954,0.767210967202648,1.09151466330738,0.821409465304364,2.93643355550489,1.64025615765179,1.29557232862542,2.12118435723008,1.74760329186209,510.670766884462,505.393945103174,416.281065105475,431.975549295778,767.04852766498,3876.60528140818,1776.55827514587,928.02371467452,1257.31407676404,7254.93637286965,-1200.17924890186
200,0.215,0.825,335.251261891398,200,540.1141,516.615756945003,1.24987086241382,1.60018608669032,1.28817597322121,0.959581798732383,1.09841644602689,1103.62773686152,801.262943374294,466.542018571492,1491.70661462385,919.96506543726,0.761353450523911,1.14515919913602,1.04419946063559,0.577150228800627,0.751718769175635,2.36501447837261,3.45907726984041,1.80081909406812,1.39975897979594,1.7341154602315,598.029396021427,568.46500189574,365.592882378041,747.697038643918,606.783906998984,6156.01352641304,2302.48956971379,614.441053226754,10233.8709397808,2627.13544025262,-1213.14249233384
200,0.215,0.825,335.251261891398,200,540.1141,888.237043479758,1.20683975008675,1.17739412299696,1.11225056767722,2.03536857608709,1.15002374247579,1093.83584934053,644.185948061361,504.569940346757,715.608253132855,934.052484992136,0.834108269135467,0.818291738721255,0.832090854169215,0.643340054125773,0.701669954055522,1.85163713498255,1.52758573730366,1.3962113588205,6.71263232723818,2.19126296755944,627.742020966612,469.172065973761,389.918768220421,412.987554572986,554.737502071683,5549.95809942675,1371.74104898414,774.537672048725,2784.65035513555,6128.54714779944,-1224.82363073768
200,0.215,0.825,335.251261891398,200,540.1141,867.748422798067,1.37253148250376,1.3742914306491,0.958876344711188,1.05700230477372,1.04498854538888,959.683845162626,542.280413869389,635.037067377431,1031.54371860958,1218.29640684145,0.846167118741046,1.07868072312319,0.761848420997026,0.837379466951627,0.654247816216488,2.70942422033949,1.86081353709517,1.31739674104214,1.45664613589426,2.65520109333379,548.092065815803,409.10330734383,434.108975330917,632.978775212221,514.038530245238,3675.18745077756,809.391056729522,1264.85302609462,2425.07164326172,18421.8614873412,-1222.37260075595
200,0.215,0.825,335.251261891398,200,540.1141,924.869251041088,0.874186591313165,1.05784098171782,1.59198333353977,1.33272054893315,1.10097096668459,1372.42313690062,992.914440042978,435.443637815117,959.477081056492,943.165937245925,0.612470837680091,0.769863706227841,1.21994662028591,0.969520865113909,0.900029475986754,1.28266145952763,1.39749530189973,2.05232197627189,1.80635291720394,1.67332241669237,689.99478736563,649.02433013394,355.927542356379,591.492866678135,534.602753499361,4504.81984604903,3812.00224397861,576.79238524712,2291.11495405993,2571.51258791682,-1223.33727090456
200,0.215,0.825,335.251261891398,200,540.1141,862.156781140884,1.63680094725329,0.917720145429851,1.24409395704604,0.827994128828833,1.13822383464994,586.356088195499,880.879588517044,483.89031511173,3384.03113700316,1112.41584960175,0.946772745768344,0.719655248818418,0.979313481708098,0.525131582903573,0.785658716103079,2.51554147621217,1.45134130092286,1.59479621682091,1.30953344357616,2.16180316172848,416.179594980283,540.897186207058,375.782124729101,1133.20631267374,575.933791880176,1110.62474705961,1714.87784491948,721.842630516917,38333.8654560997,4309.94900163532,-1228.04687316052
200,0.215,0.825,335.251261891398,200,540.1141,516.615756945003,1.92968768679259,1.23335917714259,1.42717742304847,0.869711657974798,0.812016194826258,631.819161298725,823.664122901166,466.077372188599,1129.09890079255,1947.20097706535,0.897980220242869,0.565795589709099,1.00512072293124,0.633672029694032,0.552314261280863,3.07604930662133,1.99561036537337,1.84211631339344,1.26083369443265,1.06574946435521,454.917793917131,507.85580307875,375.671003143314,637.807727122175,989.921166299968,2118.91888085733,13381.8200546957,647.54646863968,4200.78617166682,6505.66142458547,-1227.52875856915
200,0.215,0.825,335.251261891398,200,540.1141,888.237043479758,0.877652868334337,1.32534687181235,1.20374111219828,1.64132023806663,0.908961763159049,2559.96825244526,650.552441421326,430.268678417617,741.306627503996,1905.67493061499,0.600634356938316,0.98796459736805,0.943941083222774,1.21056858307485,0.614036856305395,1.68603174822614,2.06339170633813,1.54304505842552,2.63043488482651,1.6834175543412,829.742973363209,463.80886513881,336.587063340459,504.335897706783,851.871743679199,14322.6151768193,1238.06305224834,632.644212222374,1420.04821902151,14406.7942649899,-1211.73411935241
200,0.215,0.825,335.251261891398,200,540.1141,867.748422798067,1.94805755710969,1.0254935075979,0.987427029172176,1.07411501897922,1.23966467117775,558.787316024886,1165.6388309151,612.407875001898,1352.94837081682,1325.66789284137,1.32947833893967,0.645759352069629,0.799669316114908,0.64369752794681,1.00754222300073,3.29746249983959,1.59673961722609,1.26841475760262,1.95473146224313,5.44495259895488,427.051180863787,636.700714327335,450.157219998998,629.900942823988,673.273109509458,1056.37707088632,4681.92400852845,1058.57036998219,7051.62228889396,4420.33993678863,-1181.66932298059
200,0.215,0.825,335.251261891398,200,540.1141,924.869251041088,1.40587719273947,1.07792386696958,1.03763923036773,1.36602927903967,0.750739874255111,662.345730287193,1194.89571515103,775.419439525079,829.685899863815,1986.73171290829,0.986040263705554,0.598012476371008,0.825488211613611,0.935402248496805,0.540702900398668,2.39127991827762,2.11307044506441,1.47975269514753,2.4655077704714,1.35848279327791,465.742711740759,598.530068987548,523.883165181896,524.614219939414,860.598291604626,1560.9790711365,5195.45205054656,1488.35144614252,2442.97129324035,10126.8383243174,-1191.44481410177
200,0.215,0.825,335.251261891398,200,540.1141,862.156781140884,1.36025296316254,1.11303723068095,1.00059754137191,1.32496178730047,1.46301407321434,1038.27171787787,883.912102465524,576.012465641333,766.549272725448,744.145418251807,0.924372931734681,0.797919922561338,0.729021197781232,1.00751432334339,0.861794800461923,2.01906740647894,1.7836207490607,1.49649328347352,2.12900173108589,2.76570207526454,637.494598480333,544.11804214932,409.750623580462,502.316881905322,477.775795334384,3662.12740731763,2447.31919235666,1114.6448393355,1328.88786620606,3788.77453609787,-1226.00733917448
200,0.215,0.825,335.251261891398,200,540.1141,516.615756945003,1.15595871403569,1.18497276725195,1.08676656041471,1.3642513649247,1.18393885199909,1693.65503954177,801.103578863194,468.63616200756,1199.69754693099,843.168777627601,0.703376314105112,0.847797358232185,0.793652870708235,0.766949883060175,0.866863977313218,1.96990352765582,1.66461885756094,1.40847242741625,2.9410557596046,1.77094699780814,776.741710616947,548.301817215268,384.679690955769,623.805324404778,548.253477443235,55663.0003174482,1808.35714382737,742.094166595891,8158.78889813691,1899.78676822779,-1197.69966156022
200,0.215,0.825,335.251261891398,200,540.1141,888.237043479758,1.4357861389644,1.09832392235585,1.06444497514371,1.21814133346712,0.801017573060264,830.665672845047,1013.49990473705,500.169531743171,915.302597411927,1932.62830857114,1.03810475908899,0.891370585726542,0.902679846440615,0.992036987120501,0.649222516092148,2.17803491375952,1.34159342382762,1.27412122478696,1.60514785493647,1.09444895575497,526.20911956867,647.615628501169,371.140871454538,564.590807815495,851.532338477493,2106.9117596842,2137.49436895273,718.634602657013,1735.63589244353,7327.61060650405,-1172.69381713872
200,0.215,0.825,335.251261891398,200,540.1141,867.748422798067,1.55756336001543,1.12369847376684,1.33896086227191,1.18675875587967,1.08260118030672,635.481234405379,718.235362058612,489.168537637117,784.290451378033,1707.42433405213,1.22521242121197,0.903836309763664,1.12836876294487,0.931427609136049,0.733330999500841,2.23338190581989,1.42198810005421,1.67339053313537,1.51682738829462,1.86712205801094,462.931839088278,482.524792753515,375.47673043104,516.802268319718,734.314847817897,1128.88377092636,1267.34127666867,684.611342073793,1787.70458401002,15273.6638082135,-1229.07039653409
200,0.215,0.825,335.251261891398,200,540.1141,924.869251041088,1.73186867964259,1.1213497096538,0.996149044214305,1.3969613676049,1.26728061081974,696.99067609371,877.094385571839,571.689514054203,750.927053392444,701.153571291358,1.04703745041165,0.861642715454834,0.709191996294973,0.938376090453322,0.76060934179186,2.76205269924351,1.4594711160927,1.28544242783575,2.05753473074182,1.73564778786832,448.752186261708,607.209347668306,404.35960205667,512.139404818395,450.43524497722,2042.57976026327,3017.39992166423,1051.938114033,2574.1774674796,1878.96738876089,-1231.29410181655
200,0.215,0.825,335.251261891398,200,540.1141,862.156781140884,0.781521957232481,1.65580147728213,1.12816689961726,0.95545074013708,1.47740420760474,3726.97555211939,553.269583818755,516.683597982841,1299.46386168394,716.132756441682,0.509981839005071,1.16444272428216,0.703416527078474,0.688269671571171,0.745817381300064,1.41230723687468,2.809310466316,1.44618718789152,1.38638248444904,2.36356495864893,1109.58123924866,415.649432306857,393.468254065324,715.825356500627,495.728811977946,150361.473382644,1147.29135959785,855.125921642573,4613.42851675386,3031.59704711281,-1229.52671216793
200,0.215,0.825,335.251261891398,200,540.1141,516.615756945003,1.29621282198425,1.39343976900644,1.12761044546727,1.14168397176108,1.25297938203012,680.371673908492,1017.38870495797,464.917424709912,858.732213183216,691.013217203625,1.01486467855815,1.0428184145719,0.840501721989314,0.864730605039744,0.941073392161147,1.76152035848241,2.47719219881221,1.51056730676163,1.63216791965266,2.00532075763858,463.967525163325,606.138910991474,367.235246211271,506.375088129459,461.591810524857,1276.12618133355,4404.26185668491,791.011580670869,1586.19354727284,1405.18771769541,-1250.95884727173
200,0.215,0.825,335.251261891398,200,540.1141,888.237043479758,1.37131297137126,1.30011935023043,1.40815065008131,1.65772165066551,0.924849849120406,844.712269658456,854.055689759078,470.370879448971,591.195589426916,1095.81740126606,1.02605371462485,0.848814638193593,1.15201310294653,1.18406185258114,0.703755111962126,1.87404032529232,2.14801218241943,1.73222761998836,3.3533870376602,1.79496781408425,580.720794505739,530.37764526037,375.070328464367,421.615651051375,564.102215855174,1726.17146228403,2980.44897958904,682.886261779422,1125.55474866615,3193.98736101662,-1245.69183269221
200,0.215,0.825,335.251261891398,200,540.1141,867.748422798067,2.29779243901158,1.36386772582163,0.938735070840245,1.12374821853821,1.13393403118683,487.27678581122,671.96819845246,633.583431247404,729.724484455306,884.031727122568,1.24277965936516,1.01977016788798,0.757367572492166,0.830266067975126,0.92997651691751,4.41327474985768,3.19450579807866,1.15267673361798,1.53955478946536,1.47899444175021,373.105624780323,392.756648275841,448.573077305684,492.091875440802,521.853912989319,1159.28330457095,1474.47138478317,1045.38515782844,1994.61010257302,1724.45152464436,-1249.02220338031
200,0.215,0.825,335.251261891398,200,540.1141,924.869251041088,1.5166027118624,1.44800398500662,1.31459803054772,1.33295734829373,1.35054821532494,735.513337503972,852.064311740002,553.343041267113,684.638069799772,815.899929800241,1.1168311396568,1.12142177166911,1.04563099442935,1.04727197587091,1.05635836000479,2.78977753325973,2.11126422547118,1.90097892935248,1.8555958116366,2.15538317490656,500.296081832719,563.145457452874,427.84617822504,506.333785502903,516.880200954091,1584.46862323333,2678.53266750897,971.344617016747,1333.36396707414,1648.1218320667,-1216.84277933479
