"n","p","q","tau","B","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5"
90,0.215,0.6,219.279646510313,1000,1.00769934028721,0.764037154577778,2.69074439846961,2.41932905274045,1.03926432554511,1741.50854302627,2067.66649104549,584.268992986531,439.92819877869,707.329189673661,0.653222768668893,0.479649677744107,0.867274991811509,1.27085483209752,0.74810410818154,4.42236681307497,1.29883910763138,17.7328437591589,15.9565136756635,1.34997732325015,556.915380359189,621.068331373147,232.603852524577,248.977809108314,409.885009843725,12989.2997380361,20846.6593006613,3071.30513686357,1425.72728173207,1868.8290704672
90,0.215,0.6,219.279646510313,1000,5.06363544129557,0.941308993483586,0.946730990718885,1.68698309552067,1.55153099863688,3754.57796607043,852.558088008753,789.898980606468,638.900554150667,761.819277652537,4.99371627117928,0.641966066661026,0.705459131641462,1.23732173198472,0.670547049409398,5.06856973490621,1.45559175773128,1.32885490873927,3.67359423694687,5.81491603762503,3738.82394275361,422.935527396426,440.635223762624,352.027080757715,314.340509736894,3756.02588126851,2981.11586217574,2347.77816005455,1494.41438055391,9857.96093034866
90,0.215,0.6,219.279646510313,1000,1.15765938055533,0.863400035764259,1.09014049748952,1.10808287114751,0.973139913538025,1095.86639238027,816.257391418441,1091.4744033565,897.851625204214,1077.36298241231,0.461993110400119,0.405621025493646,0.606679741947762,0.507096419991902,0.401230392501415,2.63119519917883,1.82386687160097,4.86892202367312,2.91304731182273,3.40933300587884,478.50738364616,401.123399448372,357.397984811788,371.424717635965,350.423157986561,25147.2883592336,47033.7938952218,20379.3796373981,25632.9371495633,41960.3775091178
90,0.215,0.7125,284.487546136996,1000,1.22152401829397,1.13816812879987,0.929982188242096,0.908887921227467,2.49857237271323,1042.70348035741,711.004958823243,1294.40341116447,1969.91931298493,503.730759165342,0.771049661318206,0.702752248892307,0.585017421947543,0.476705401645997,1.27844817314745,2.15078046866144,3.10065624023898,1.85693698250287,3.57517378841333,14.5154809457747,519.10032494437,402.263524510108,574.347191545216,502.472976382111,319.324939580194,4798.97683000312,2369.61301381097,10178.1437326112,32625.2732015123,1279.93204590131
90,0.215,0.7125,284.487546136996,1000,1.3766159442413,1.04171225772658,0.874924529667175,1.18542189276965,1.31105830598563,509.662402511146,3118.55835986173,810.971097432749,1146.2502721011,878.202548868786,0.902827534511281,0.406220763482077,0.571702966914674,0.695623254961483,0.765678988032892,2.21509981857622,3.85128339144829,1.28878680385648,7.66064898416754,2.10313990021423,350.313941707848,634.16736954512,434.963479600004,356.688707177175,473.146202024657,1007.14053235788,46971.6249427976,3387.67619149621,14784.62925391,4062.9607116312
90,0.215,0.7125,284.487546136996,1000,1.01617028537314,1.06852407681925,3.91406850364367,1.06463343448404,0.938361879981046,1491.99785547684,1101.76796671934,396.072948532255,1152.40226767106,979.595743389257,0.802518073154814,0.690859126624163,2.2825000635203,0.542908393423564,0.733256031497794,4.01805780034941,2.55187765110609,6.25587747092798,1.63833736733672,1.26472501613067,572.14760028088,480.622297297366,329.385779126579,569.566882618979,545.129052345144,5447.04476676644,9234.16577609747,666.232957763751,11162.3266735946,2671.42665580021
90,0.215,0.9,477.929441292003,1000,1.68960279543098,1.54862855978515,1.24905047494191,0.967003605561321,0.76682966246093,685.403794811499,658.794489763519,632.651933074647,1735.24918526496,2598.10639027034,1.21744272032345,1.09524004364504,0.713364889564057,0.43035212577754,0.331862069424532,2.80395837294452,2.69143244583085,1.66812950088951,2.25749829746964,1.28977983866646,457.859734182052,465.648938056025,423.895583796379,733.815845562346,896.917939941507,1424.19836672946,1385.59902115012,1573.13505827159,86323.167041052,393994.895248049
90,0.215,0.9,477.929441292003,1000,1.55239756244756,1.52185800639072,0.923867695589287,1.41103213416766,1.47431089624628,1101.21453438871,588.583140080937,857.063265115317,842.184005528893,606.904247429787,0.963747928685761,1.03836248959329,0.562467352448692,0.649282405052844,0.852433397401022,3.90277536732243,2.19158029800799,1.42759336591779,2.25941089716657,2.23789037370054,545.576033595406,422.720848039158,487.446828788888,497.015167580606,420.588654196516,5379.15707526103,1031.06442083948,3237.61248058852,3614.44389770564,1255.96264244178
90,0.215,0.9,477.929441292003,1000,1.88144546000031,0.902383019221302,1.21791744473853,1.29966352105049,1.25200275355711,651.154185916915,1310.6995812702,1233.36870471979,656.548822032948,1005.77880595769,1.11484304033407,0.592606529926437,0.851465168478452,0.798270692450177,0.818419134143285,3.12406512205583,1.38606086559945,2.66788083209696,2.0119091548812,2.35188492854952,455.261848085751,674.700044509059,590.529800906374,472.245735072378,579.247768684142,1429.32924568581,6154.25690700497,5406.59725239414,1655.33967576597,3016.78684506385
90,0.215,1,Inf,1000,1.29378721575651,1.25215323730032,1.46816796701921,1.09837994900265,0.733487205773659,1575.91365715881,765.452005348021,855.544714478272,1476.96624411629,1535.70493352322,0.534675295167101,0.975758543651916,1.12124593460147,0.563097110125336,0.518901882902995,3.57745823237779,1.62570566699456,2.05767190695265,3.61996567051717,0.985236087788718,675.129265960674,519.277779039537,564.037466197286,864.245506488517,798.719868273814,20473.2718798934,1538.77245760947,1728.0248598171,31892.8357152933,6538.67961260217
