"n"  ,"p"   ,"q"   ,"tau"            ,"B" ,"shapes.1"        ,"shapes.2"        ,"shapes.3"        ,"shapes.4"        ,"shapes.5"        ,"scales.1"        ,"scales.2"        ,"scales.3"        ,"scales.4"        ,"scales.5"        ,"shapes.lower.1"  ,"shapes.lower.2"  ,"shapes.lower.3"  ,"shapes.lower.4"  ,"shapes.lower.5"  ,"shapes.upper.1" ,"shapes.upper.2" ,"shapes.upper.3" ,"shapes.upper.4"  ,"shapes.upper.5"  ,"scales.lower.1" ,"scales.lower.2" ,"scales.lower.3" ,"scales.lower.4" ,"scales.lower.5" ,"scales.upper.1" ,"scales.upper.2" ,"scales.upper.3" ,"scales.upper.4" ,"scales.upper.5" ,"shapes.lower.perc.1" ,"shapes.lower.perc.2" ,"shapes.lower.perc.3" ,"shapes.lower.perc.4" ,"shapes.lower.perc.5" ,"shapes.upper.perc.1" ,"shapes.upper.perc.2" ,"shapes.upper.perc.3" ,"shapes.upper.perc.4" ,"shapes.upper.perc.5" ,"scales.lower.perc.1" ,"scales.lower.perc.2" ,"scales.lower.perc.3" ,"scales.lower.perc.4" ,"scales.lower.perc.5" ,"scales.upper.perc.1" ,"scales.upper.perc.2" ,"scales.upper.perc.3" ,"scales.upper.perc.4" ,"scales.upper.perc.5" ,"logliks"
 100 ,0.215 ,0.825 ,377.709824077126 ,500 ,1.24656599066717  ,1.0691566557798   ,1.06213280103957  ,1.66395060677561  ,1.27554171483631  , 688.795137424701 ,1669.0006857479   , 710.949740258094 , 788.537139294619 , 745.782460901248 ,0.906087452410207 ,0.675341708665032 ,0.793426520863636 ,0.948578729019578 ,0.939523670809948 ,1.98602187742254 ,1.54020562826964 ,1.39614237504846 ,5.27757497583137  ,1.73169817212265  ,455.281381306233 ,765.248269343842 ,449.333243839724 ,469.702064777745 ,481.931881491901 ,1923.00917611291 ,10210.3595208718 ,1609.78482174625 ,3412.76717235899 ,1801.89830560958 ,0.910380322276018     ,0.734354227525179     ,0.818563713077673     ,1.00392233140446      ,0.946646869931402     ,2.16502811611925      ,1.68736339914017      ,1.44572153512343      ,5.81284392292494      ,1.76033418427016      ,446.543603669497      ,744.934054951388      ,447.23560123029       ,453.422547144283      ,478.125913094771      ,1654.6464139381       ,8236.41069038301      ,1593.19871572082      ,2951.72972829874      ,1756.24750766535      ,-620.395722858018
 100 ,0.215 ,0.825 ,377.709824077126 ,500 ,2.58400474770978  ,1.01266774852649  ,1.01623875154922  ,1.02248637138165  ,1.61003034849299  , 548.774729116377 , 887.765629462744 , 562.326732479928 ,2336.48151669487  , 490.478707873984 ,1.24504234853203  ,0.739274880629753 ,0.794731892481126 ,0.459789685944037 ,1.28366088663846  ,7.93372401539251 ,2.39683386991213 ,1.28425092628961 ,5.97441866728346  ,2.1219167399191   ,402.447799883888 ,488.647194101287 ,386.783369532384 ,421.211197613477 ,370.086165432758 ,1397.83902593022 ,3301.14637094181 ,1123.74315356802 ,159555.289581127 ,748.391717416279 ,1.09052836259856      ,0.744257726006516     ,0.804731203830872     ,0.532876831921354     ,1.28856366627851      ,6.19955021655398      ,2.80424685436798      ,1.30160750338109      ,7.71689286809919      ,2.15989494759548      ,414.150626782392      ,455.545396913881      ,372.337455939863      ,410.530564462571      ,368.204252940381      ,1574.17209888583      ,2256.17538865455      ,1017.39682641275      ,115470.197319878      ,743.540989293593      ,-646.053801232634
 100 ,0.215 ,0.825 ,377.709824077126 ,500 ,1.20528265305044  ,1.17848681911386  ,1.58569447331812  ,1.37077606371529  ,1.14433323866397  , 910.980501399062 , 858.971979513569 , 555.960421764229 , 657.881480716367 , 855.530126609986 ,0.827258413552984 ,0.779303044094492 ,0.91997986359996  ,1.02249297119319  ,0.816823434705465 ,2.27236825154454 ,2.0183354345145  ,2.99036248401391 ,2.10806665179486  ,1.61114488087282  ,512.244232903796 ,492.264052982535 ,407.149528784944 ,419.40332763004  ,489.401035023515 ,3869.95962247051 ,3372.85901302044 ,1269.16451655097 ,1486.70462993883 ,2433.12526274977 ,0.834191865786695     ,0.776835161411096     ,1.05414225146686      ,1.00935089420784      ,0.815397573388608     ,2.63936540181643      ,2.01278644388041      ,4.14080867939772      ,2.000261885891        ,1.60886917674732      ,504.980638604146      ,492.60943354457       ,393.052275423997      ,415.210193121651      ,489.380848516437      ,3611.98185217046      ,3402.60947625469      ,1088.31601199253      ,1474.32953975661      ,2432.78756777092      ,-638.912946021498
 100 ,0.215 ,0.825 ,377.709824077126 ,500 ,1.27245011688739  ,1.22979158857388  ,1.65405619533982  ,1.22218738349167  ,0.916798272546447 , 972.008033654924 ,1231.9307461318   , 484.350039371063 , 758.606602551587 ,2153.13259714287  ,0.753652382190019 ,0.653776526936078 ,1.13097424551979  ,0.773541428873043 ,0.473391284448406 ,2.8769598504754  ,5.00322562619021 ,2.87054409662728 ,1.97002076310098  ,2.07624676624937  ,536.842079149618 ,546.59742112728  ,377.193953573567 ,463.540745174388 ,705.55713226346  ,6783.9165523463  ,11060.8178551278 ,839.608330346607 ,2244.2889549831  ,92188.0638329076 ,0.798914979062547     ,0.661305868489421     ,1.13180122454499      ,0.79698092392671      ,0.519966831864743     ,3.5643700485316       ,5.20271421144663      ,2.88479391991521      ,2.1510127276603       ,2.4683009733986       ,495.443197620311      ,485.774971426479      ,372.739652893803      ,439.811011946383      ,648.206505966388      ,4211.41254748585      ,7192.22244118935      ,807.351893037453      ,2056.74130629854      ,49806.0916384177      ,-625.324456823148
 100 ,0.215 ,0.825 ,377.709824077126 ,500 ,1.61334313121362  ,1.28738447875605  ,0.905380725124952 ,1.19308973049733  ,1.11247899133712  , 742.732908643787 ,1008.86503038843  , 994.968955819507 , 639.336584988575 , 968.186506261915 ,1.09871269609825  ,0.397933875385263 ,0.700901504468706 ,0.824605180726987 ,0.676681159394284 ,6.25073403158852 ,2.89442460061581 ,1.34068045338504 ,2.22365858193558  ,1.89083990463671  ,434.336109950968 ,490.747591499861 ,534.795939514927 ,431.318990034135 ,522.733955857746 ,2812.5776159406  ,358062.510574554 ,2769.71802229379 ,1376.81676950264 ,4829.60489764741 ,1.1445540022504       ,0.501013143192989     ,0.689368993214924     ,0.824593091844063     ,0.729577584509459     ,6.71658067863177      ,3.95308185768824      ,1.28258583459508      ,2.21505350367883      ,2.32988623791717      ,438.641566612381      ,476.228202404795      ,529.5267501726        ,426.339739541098      ,493.406989726197      ,2916.59184990156      ,72608.013484131       ,2757.8104587627       ,1311.25068563351      ,3417.67022213507      ,-623.920121901333
 100 ,0.215 ,0.825 ,377.709824077126 ,500 ,1.65212240355753  ,0.995555505723691 ,0.99600753516183  ,0.803573245367305 ,2.02754633220927  , 669.020198918418 , 889.518025139339 , 952.695635079707 ,1881.15777793169  , 761.136004635953 ,0.871272501859699 ,0.716104220436401 ,0.672647082937699 ,0.47282625545485  ,0.808260401406388 ,2.77863973983025 ,1.41631126663495 ,1.6508341214366  ,1.53971856771143  ,13.8160922762356  ,460.103028842205 ,535.893862330853 ,555.000701922702 ,725.580756466637 ,426.694723578978 ,2096.77764735997 ,2347.64129674508 ,3711.57787777201 ,23068.7647281652 ,3606.4569359645  ,0.940217072378204     ,0.720115430347885     ,0.706303826628395     ,0.50325000196814      ,0.830887303003397     ,2.88040698079331      ,1.43404794532348      ,1.94658814375779      ,1.92304592518808      ,14.8187091241726      ,458.287352828773      ,533.174243719535      ,489.046455083162      ,671.23230060693       ,432.559605446564      ,1962.53097618294      ,2294.62647392823      ,2536.66849903464      ,17587.1183085781      ,3945.55284643197      ,-617.730167109262
 100 ,0.215 ,0.825 ,377.709824077126 ,500 ,0.951672984649974 ,0.927483025685227 ,1.0741359799217   ,1.71499215086589  ,0.983545272865762 ,1625.68870451346  ,2644.47545155977  , 596.991838994091 , 518.068356184178 ,1714.63252840467  ,0.692794793418736 ,0.703022181819298 ,0.754285152282785 ,1.14703278413716  ,0.515693812310315 ,2.32736965293172 ,2.15972374990328 ,1.77429428647621 ,2.35383288250034  ,3.00381706297313  ,687.42923480455  ,948.001159542826 ,386.152837693146 ,380.905051506257 ,629.039802396044 ,8118.42624464634 ,21927.8121510775 ,1340.69292485348 ,944.053898442482 ,44376.356412879  ,0.706707366066065     ,0.713631144522649     ,0.788361137095752     ,1.17537989741062      ,0.586205188458068     ,2.51475712021165      ,3.84846048460218      ,1.89135340834522      ,2.4598194557132       ,3.70809170571719      ,695.777727759405      ,848.834777156406      ,381.718412791201      ,380.970433449428      ,596.068086807551      ,8205.89163158591      ,18952.4232269818      ,1323.75147373968      ,947.322808757851      ,20970.9125710874      ,-606.956344060721
 100 ,0.215 ,0.825 ,377.709824077126 ,500 ,1.85931918985717  ,0.897031206236732 ,0.882872722007184 ,1.16666525340117  ,0.870692777147599 , 594.584496885731 ,2107.71196675977  ,1298.53066372303  , 741.303809620745 ,1698.32745370787  ,1.06597736483962  ,0.439655649472847 ,0.678044512535611 ,0.832749718660959 ,0.665073793558359 ,3.2798491875945  ,5.51329798675036 ,1.40849863531128 ,1.95295826686766  ,1.29649573476986  ,439.817550243535 ,465.812556973092 ,599.920096789095 ,463.738668805769 ,796.328634141947 ,1048.25830272526 ,50934.3243817255 ,3590.84564253634 ,1715.06098861412 ,9824.34777391934 ,1.16732051679059      ,0.49609416108512      ,0.67831539796652      ,0.835627118656089     ,0.661316725273136     ,4.15281336960007      ,9.28370077355151      ,1.410700503085        ,1.95956400744843      ,1.29467637726068      ,431.492878890943      ,436.747907863241      ,617.928639332514      ,469.003608123664      ,774.689434751541      ,1033.31675199698      ,32722.8732994249      ,4035.19245542079      ,1860.77080201226      ,8056.21706799456      ,-615.377750757761
 100 ,0.215 ,0.825 ,377.709824077126 ,500 ,1.22363152385448  ,1.13158480465729  ,1.05820365205854  ,1.05071769394545  ,2.59657912444254  , 997.703231694228 , 816.731341131089 , 893.608845136206 , 920.721317191561 , 560.939060066461 ,0.955775049594753 ,0.752252650186446 ,0.708814903679061 ,0.646634452830042 ,1.54091718508984  ,1.65017552079983 ,2.21494697201787 ,1.97295047347905 ,1.6199215791171   ,7.04542131773003  ,591.581193893373 ,466.789099367186 ,481.227035462592 ,539.286137928155 ,423.759879927648 ,2327.82710830525 ,2280.78556268511 ,2774.7060653879  ,4757.68938341799 ,1389.69699650702 ,0.954556767747792     ,0.757076729083703     ,0.73810186118225      ,0.689856412754829     ,1.52620141421311      ,1.64709821636336      ,2.42472150329879      ,2.10505525167032      ,1.75784410461602      ,6.53841195487637      ,586.343232486587      ,464.982036666151      ,476.82318702305       ,514.266149341702      ,417.121660654916      ,2276.6253715406       ,2235.10634053052      ,2426.64265239818      ,3334.71979313681      ,1262.46483951616      ,-628.404619990748
 100 ,0.215 ,0.825 ,377.709824077126 ,500 ,1.6040954222337   ,1.27108099268885  ,0.873371694311051 ,0.916499367894777 ,2.60485717067542  , 664.384652005815 ,1060.99319150339  ,3299.0848748252   , 920.344705708255 , 692.805431577806 ,1.07041656788364  ,0.679938511034584 ,0.433009277423866 ,0.754717627495774 ,1.0488966777394   ,3.3676864563122  ,4.79939869206423 ,4.19763674411552 ,1.28818904984857  ,5.94259741435737  ,457.536796347074 ,489.661116807385 ,500.452797412131 ,507.865281946996 ,464.940738174149 ,1347.68026388981 ,5617.58746769187 ,99790.9609034289 ,2355.81694935403 ,3494.30145709028 ,1.04602893702747      ,0.671615848567916     ,0.524123063720775     ,0.720190073822278     ,1.14356300263393      ,3.26488618286625      ,4.53693389187714      ,8.6294427272233       ,1.18905246017247      ,7.06498143681284      ,461.949097311646      ,493.462761069117      ,437.861703783045      ,513.892576285622      ,465.249990211738      ,1494.18295506748      ,5887.45359916662      ,53739.8604568184      ,2555.3972272618       ,3522.03551078858      ,-582.427372660403
 200 ,0.215 ,0.825 ,377.709824077126 ,500 ,1.06584970620524  ,1.07795931017631  ,1.22278013112496  ,1.51591050804634  ,0.971978774429082 ,1476.41947588446  , 932.524819542589 , 797.71794204803  , 616.422274499822 ,1704.12045788841  ,0.700066687967934 ,0.829763788124781 ,0.871769386639397 ,1.24833743251479  ,0.598359702601732 ,1.68967365041346 ,1.48308880623104 ,1.78126263299223 ,1.87031957058822  ,1.37876190937368  ,853.418949945215 ,606.67831624243  ,537.638124151271 ,486.508494012914 ,894.566350311398 ,7368.58460596606 ,1786.0426557598  ,1649.10838994391 ,890.277141055941 ,13410.2995447479 ,0.760719809977527     ,0.82987942326253      ,0.87103899260086      ,1.25015326420236      ,0.659877097378939     ,1.98696705944968      ,1.48482865018388      ,1.78006460742265      ,1.87682710931883      ,1.52562161591433      ,727.768970608584      ,600.472521144305      ,537.573206698513      ,476.409065284337      ,813.462819936055      ,4086.65426279034      ,1754.08141280752      ,1646.59940809044      ,862.38407515657       ,7808.89186906808      ,-1240.99683808438
 200 ,0.215 ,0.825 ,377.709824077126 ,500 ,1.20552427152071  ,0.954960115956952 ,1.5192360417468   ,1.50016904787051  ,1.09537863515785  ,1138.3940501216   ,1199.08864733115  , 502.858739297685 ,1004.45280026903  ,1550.6126501493   ,0.872393303967856 ,0.691044369613407 ,1.1761097137772   ,1.00865676732647  ,0.691924037847544 ,1.70741537436476 ,1.54660896980729 ,1.92092911448582 ,2.61730490819367  ,1.67502211314211  ,721.014260033486 ,661.567662181309 ,417.258198864003 ,578.89026819045  ,805.195848596007 ,2786.05740588773 ,3030.81291029533 ,663.477844104254 ,2651.59527786119 ,9205.07761793224 ,0.878740721275403     ,0.691620607813969     ,1.19818003674331      ,1.00663244431498      ,0.742201054247977     ,1.70883284824981      ,1.55214026849369      ,1.94441643422776      ,2.59300200643819      ,1.82393899451695      ,706.570914899521      ,641.934710187426      ,412.56067702065       ,593.075503640395      ,740.834317222028      ,2718.69210658881      ,2965.46674091697      ,657.740110509814      ,2767.67666831548      ,5346.93260940762      ,-1232.81627617063
 200 ,0.215 ,0.825 ,377.709824077126 ,500 ,0.920699756550444 ,1.1194207438541   ,1.08198357456559  ,1.01996366559159  ,1.40331149740801  ,2423.58818897008  ,1103.95118392794  , 608.350863092017 , 840.296797407512 , 686.686528568572 ,0.717523617868033 ,0.739466773758696 ,0.817900811890133 ,0.768317982807498 ,0.938632843006599 ,1.38027089709905 ,1.83958251885797 ,1.40441157062398 ,1.59999143459846  ,2.04318788602344  ,1037.81639163527 ,614.904724014212 ,436.589258605739 ,503.361036093761 ,492.840947572986 ,11828.1813594747 ,3355.59924150843 ,962.87429704722  ,1603.61261936185 ,1481.39630645861 ,0.695698829756084     ,0.75655668199234      ,0.844632453369085     ,0.761302755805638     ,0.920424955033119     ,1.26758186904532      ,1.93345296335222      ,1.43826493332647      ,1.51511423765259      ,2.02384833710683      ,1034.23969076388      ,606.116181428756      ,435.47557133848       ,515.744681700268      ,479.28473056952       ,11509.8089129612      ,2958.84915347131      ,962.374379745783      ,1719.71620549314      ,1407.11601910538      ,-1262.5087428979
