        [,1] [,2] [,3] [,4]  [,5] [,6] [,7] [,8]  [,9] [,10]
 [74,] 1.174 1011 1.17  819 1.118  847 1.13  911 1.294  1126
 [75,] 1.356  973 1.32  722 0.953 1156 1.13  940 1.075  1154
 [76,] 1.462  856 1.28  689 0.982  941 1.42  760 1.031  1643
 [77,] 1.428  776 1.16  905 0.905 1043 1.27  951 1.167  1086
 [78,] 1.323 1044 1.32  711 1.027  934 1.11  883 1.193   970
 [79,] 1.535  853 1.18  839 0.981  936 1.16  902 1.132  1120
 [80,] 1.506  862 1.22  759 0.945 1025 1.32  842 1.084  1200
 [81,] 1.694  698 1.16  841 0.939  918 1.08  982 1.175  1092
 [82,] 1.209  987 1.23  839 1.070  939 1.16 1008 1.131  1075
 [83,] 1.404  779 1.20  811 0.977  983 1.23  922 1.143  1113
 [84,] 1.463  851 1.13  845 1.037  775 1.24  875 1.127  1161
 [85,] 1.190  969 1.21  942 1.064  785 1.05  903 1.124  1214
 [86,] 1.457  808 1.16  829 1.022  938 1.38  765 1.115  1438
 [87,] 1.328 1039 1.52  669 1.067  863 1.07 1066 0.978  1328
 [88,] 1.337  978 1.35  708 0.971  874 1.25  863 1.149  1124
 [89,] 1.394  878 1.17  911 1.027  909 1.15 1099 1.135  1212
 [90,] 1.178 1001 1.15  831 1.173  747 1.44  799 1.067  1365
 [91,] 1.232 1069 1.38  689 1.042  809 1.08 1029 1.269   911
 [92,] 1.229 1089 1.35  704 1.005  994 1.37  767 1.273   900
 [93,] 1.392  838 1.25  787 0.948  883 1.32  770 1.313  1225
 [94,] 1.314  887 1.28  831 1.047  895 1.18  955 1.239  1007
 [95,] 1.425  915 1.15  800 1.052  923 1.22  851 1.304   894
 [96,] 1.311  875 1.25  741 1.028  883 1.26  877 1.190  1045
 [97,] 1.433  865 1.43  657 1.018  870 1.28  846 1.088  1109
 [98,] 1.439  803 1.14  820 1.066  803 1.43  813 1.078  1316
 [99,] 1.135 1285 1.31  807 1.011  984 1.41  782 1.172  1010
[100,] 1.232 1027 1.11  964 1.065  929 1.35  844 1.213   963
