"n","p","q","prob3","prob1","mttf3","mttf1","mttf","tau","scale3","shape.mles.1","shape.mles.2","shape.mles.3","shape.mles.4","shape.mles.5","scale.mles.1","scale.mles.2","scale.mles.3","scale.mles.4","scale.mles.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5"
100,0.215,0.825,0.553075327915399,0.0957972524877735,239.123435652302,924.869251041088,141.877032223114,241.321481188715,250,1.5025381168334,0.958259814219568,1.1132143126629,1.23913739308762,1.41005765790486,451.823238578788,2041.59864926857,330.25320608624,1504.79675252384,430.686275752018,1.1731891104119,0.63960872067609,0.735999984277606,0.946586926376357,1.07783909258441,1.98207605607191,11.2602034535659,1.56873761739985,5.25838118524119,1.9753129430614,291.63330328804,276.293836859096,239.525731801647,589.808706622759,286.128786417634,906.872241908861,23696.7768103231,733.765981629247,5078.97285493759,902.280850533145
100,0.215,0.825,0.553075327915399,0.0957972524877735,239.123435652302,924.869251041088,141.877032223114,241.321481188715,250,0.941674675827937,1.55259843810591,1.21076187831859,0.673732177176531,1.18888004077676,1491.11610800193,396.736406629392,233.76152513337,53276.6922659767,1091.37549539053,0.596715255773068,1.01133127363912,0.952735656664644,0.57793642666809,0.823147240039914,1.51994787072452,2.52117438226126,1.53693705675285,2.50997366466249,3.34658515262731,559.744117151169,273.122702110135,181.882297585279,4304.09251064424,451.462340806658,13900.0439172957,791.154190207546,336.502206980622,93960.5024660882,4923.67828454053
100,0.215,0.825,0.356446462328954,0.140393708864946,478.246871304603,924.869251041088,192.551785564447,326.781948325596,500,1.07095878396091,2.48317995294418,1.35547067075243,1.30528253016426,1.75162887973069,1781.99352537334,518.659836775697,321.065712075151,786.403746703292,654.085673053419,0.554177520350231,1.09513453955237,1.00633598612617,0.861094871572537,1.06384336390269,3.22576496228531,24.3352970042723,1.72550143384134,2.06445979845487,8.53426878271781,646.787023064409,360.538469877552,254.546732179786,425.745341253902,367.791862973393,53507.7660013994,2136.46292570391,455.247587029388,3240.87419094494,2433.34769149857
100,0.215,0.825,0.356446462328954,0.140393708864946,478.246871304603,924.869251041088,192.551785564447,326.781948325596,500,2.53181510215876,0.759560494781989,1.13751320371935,2.66134805461353,1.09427894947416,692.119749111852,1155.24782726908,505.433772066191,619.454245074205,1136.43669982709,1.12039460396624,0.414057301471904,0.848544692800158,1.01818157873793,0.759395301791701,16.4933778076525,1.05283239994361,1.55078925111872,7.9636621037843,2.06279582371332,367.623116397853,557.490684454718,354.167340338774,393.019279633544,513.606063797571,2379.65500412912,11028.5575661976,946.78055109823,2910.52575292759,5041.5732890088
100,0.215,0.825,0.257851105105913,0.163013034765382,717.370306956905,924.869251041088,216.991020822759,367.829941016634,750,0.904703887839085,1.08484107439184,0.773249582799336,1.62619927616333,1.81348334189214,2560.04279078369,828.561760187936,1762.37168993259,621.737004580262,699.111342625744,0.612927017763121,0.711198977696794,0.439408255038579,1.18549718308605,1.16867322165682,1.96733211668468,1.59976857309501,1.65764805683692,2.71259944036041,2.48130772061977,802.336820642702,508.31546164323,615.682495894473,443.031689268084,464.342669727007,20816.8515725909,3135.55708082287,40772.575462258,1136.13940191945,1764.29717827963
100,0.215,0.825,0.257851105105913,0.163013034765382,717.370306956905,924.869251041088,216.991020822759,367.829941016634,750,4.28661815752508,1.27557905706992,1.26015222814891,0.683413425020375,1.26097523095247,487.378115417165,574.248744195648,629.788065407559,5875.46085563566,971.970759921348,1.05502836224736,0.807536184998238,0.961446155248219,0.190217320070833,0.87258629858073,9.59674371861907,1.8249137233832,1.94457352391979,1.73811302585367,2.07699241841485,402.034983983614,408.962588350602,429.482433418002,724.129600983547,508.657519165298,1303.37880186983,1218.95481216842,1270.33395131563,345583567.783484,3153.70974701272
100,0.215,0.825,0.199949825732212,0.176362016848044,956.493742609207,924.869251041088,231.101477737775,391.477054325248,1000,1.010472597031,3.12778854072971,1.52115753475883,0.724631633172758,1.19512323953787,1084.76987290036,513.330661179716,917.095948441363,1667.08892863072,962.591517070798,0.616067090811798,1.82803377599835,0.975582037011408,0.502593718925507,0.620516211813174,1.77246584517452,19.496726653179,5.98695584794333,0.993613223328286,2.50819061415696,585.307656699712,414.863809044447,497.958562824937,723.577593204744,537.241014505826,7690.08214012402,948.828618701846,4380.18769611956,10389.2337811813,6632.81027135414
100,0.215,0.825,0.199949825732212,0.176362016848044,956.493742609207,924.869251041088,231.101477737775,391.477054325248,1000,0.782594067382579,1.03607846669278,1.19971890892507,1.75560459166222,0.821340421322584,1590.65097282772,1821.14631359008,870.69065739305,814.047141884109,1516.84361572652,0.457504028541064,0.625215848091325,0.755422224506283,0.660014513137566,0.541030214116322,1.3895404650824,2.11239753539256,1.69227035060586,17.5950073655804,1.16971597549057,664.97880828688,760.108545511888,516.718032494087,432.876450783547,741.103571521004,23835.4214911921,19179.8425999129,2711.65098254799,5016.41919936513,9041.37281771042
100,0.215,0.825,0.162265605156944,0.185073900675987,1195.61717826151,924.869251041088,240.198467236649,406.701271141681,1250,1.77717093143034,1.1543235158108,1.87006619769249,0.934925319762442,1.10976399534234,620.94758068367,1388.30620168478,968.325762306975,1294.98746544127,927.121527702723,0.881181207431395,0.663156248980606,0.789866464106309,0.435323742038488,0.596557726513295,3.25671008305028,1.68725321087743,6.32976913862148,2.02650216213068,2.17624863931902,446.371929047066,725.267371117753,507.670942827364,571.064250022186,522.656473432918,1374.07400733647,8627.09149087562,10050.2443972843,38798.6532051978,5542.76460225593
100,0.215,0.825,0.162265605156944,0.185073900675987,1195.61717826151,924.869251041088,240.198467236649,406.701271141681,1250,1.66608305411082,0.928168709723996,1.53429886186938,1.04188895247453,1.11744962138865,742.013963310133,1139.78966847183,829.969103843328,1496.90237199624,888.11743334692,1.22112329958172,0.657011963231301,1.14776961239194,0.599241474292863,0.773708003607199,3.49210803310147,1.26701508655348,2.24352564133346,1.8825875663023,1.82658002070654,501.643922238049,596.230967591032,550.203737063294,646.156326011272,526.984085577799,1533.353830081,3502.42713971638,1995.4794052978,11160.0308426204,3156.52147896948
100,0.215,0.825,0.1359512118419,0.191167880250941,1434.74061391381,924.869251041088,246.512720866686,417.258528720743,1500,1.65224429403763,1.25348491087765,1.02530062501576,2.27778703434437,1.5907943268497,760.362066642765,690.096236036437,1314.82607250548,721.05812636288,689.02551187187,1.03684355197727,0.743851346389663,0.650876384430266,1.02257483451333,1.07228020083798,2.92814630866401,1.86392579127466,1.96553068527085,7.69523707644307,2.30158968365336,499.323621338953,465.824955512328,595.681750407554,461.487585699413,471.561521908105,2149.88647273313,2061.29286060235,5945.92222242526,3142.58602745604,1328.49964653404
100,0.215,0.825,0.1359512118419,0.191167880250941,1434.74061391381,924.869251041088,246.512720866686,417.258528720743,1500,1.88247487522584,2.12530732475955,0.870413685215602,1.24295578046974,1.2143445926409,562.708117876658,602.215826558487,2537.47113348177,738.863682731685,762.973114268063,1.4093898527817,1.08131514842159,0.346402717850822,0.811104278651225,0.901116798120875,2.8235482356183,6.60581732682235,2.58857143959819,2.06104636924323,1.85128084598546,429.372960548221,434.73454534608,635.554246550912,487.444254535833,496.229152576338,958.163633653938,1847.38579681163,1102337.34030606,1927.18263833024,1775.12234772857
100,0.215,0.825,0.116617315361724,0.195650660072703,1673.86404956611,924.869251041088,251.132776990115,424.977968864722,1750,1.29191884233494,1.4471266662042,5.61173600307123,1.72576082500011,1.11921069015118,1213.63608087004,665.838078799063,6796.95461585881,627.428717357853,787.327839718387,0.97259361472693,1.08723266976841,5.60710737958907,1.29806188854715,0.894798784205916,2.13561516023856,2.03580212549575,5.61187168157125,2.50434272487335,1.4061322525083,693.181737067914,477.510289769369,6794.91881468512,470.821792926792,492.096730021925,3025.64400528126,1170.48904322859,6797.0148021578,963.342427125995,1433.47920493971
100,0.215,0.825,0.116617315361724,0.195650660072703,1673.86404956611,924.869251041088,251.132776990115,424.977968864722,1750,1.10003493186449,1.07895786737009,0.87672665073366,1.13077478651896,1.64052526110184,1011.09484253145,820.294057056313,4760.02038595224,746.182817680758,1244.31634106507,0.635137699389778,0.83369232593832,0.56578928078803,0.836480678778262,1.00191747947094,1.83888128512693,1.48480973219388,4.08327282021059,1.53066621131817,6.15001609765301,603.296107621229,518.22124757418,1320.97125831136,477.505869779024,627.54971451189,6166.68393255661,1886.04658134228,157177.933742696,1558.97302524175,6721.65594461399
100,0.215,0.825,0.553075327915399,0.0957972524877735,239.123435652302,924.869251041088,141.877032223114,241.321481188715,250,1.07591562071541,0.883630216688852,0.817566404204781,1.12579190314426,1.71759212629662,673.953794328602,1533.78493432608,553.73665938951,1171.31683530287,402.83219297215,0.629104018429907,0.637789421317538,0.475885412616281,0.736862104332441,1.21609414856946,2.28868038629606,1.38456770388189,1.19625289850368,4.58524973220996,4.79917201579661,341.346281091133,599.968956899748,327.457526814027,509.027044608651,285.804668158758,4145.46425223295,9702.90839734668,2864.12227963337,9812.48110639151,1004.84054182377
100,0.215,0.825,0.553075327915399,0.0957972524877735,239.123435652302,924.869251041088,141.877032223114,241.321481188715,250,0.968461920636591,1.24914671939671,0.788446889343719,1.15066299664509,1.74949699530267,1205.05590660722,600.79471713106,275.900862272438,2887.61656649385,531.606990985286,0.700895231067163,0.597293404775895,0.638830821429824,0.559443049149594,0.938525694975712,1.45748482867193,6.53050436109018,0.978295000613368,4.08988145620397,73.2498499199635,496.519304226346,289.072333409074,192.505063222738,569.554240194009,255.597971979516,6519.84369704628,7054.7327455143,525.812289721201,7801.04496486476,2472.4304157913
100,0.215,0.825,0.356446462328954,0.140393708864946,478.246871304603,924.869251041088,192.551785564447,326.781948325596,500,1.16202600545733,1.81619122392197,1.02124498160091,1.67914079548306,1.37669056982046,2012.79315936964,429.614354039723,534.090877405826,549.232116283704,1280.39564072736,0.571275092087946,1.14076115213083,0.833442712538383,1.15039146903621,0.838172226469222,6.33855758487312,3.13188374737657,1.29474550765843,3.2875651696778,10.367010232586,396.309067353357,335.445411856791,352.971377240263,373.901385871133,376.341118212093,13690.9778995584,735.567225848684,995.577577836034,1146.17470840572,6403.56897401622
100,0.215,0.825,0.356446462328954,0.140393708864946,478.246871304603,924.869251041088,192.551785564447,326.781948325596,500,0.992908716402841,0.988744300054407,1.57327668171053,1.36390552884421,1.69975387963108,846.957352452442,1987.22980575832,414.656672084456,1056.78297671205,778.615757762977,0.609195845337258,0.660806161628125,1.12554468008958,0.845930696088109,0.849410321747412,1.68210635201326,1.3958245656122,2.37186998421937,5.57539114141676,5.55917600105931,459.468581177648,677.371987437219,330.638193520694,532.565897307522,449.185762906882,5260.53679315819,10062.4044532585,644.675414564395,6191.6660200151,3432.66829386554
100,0.215,0.825,0.257851105105913,0.163013034765382,717.370306956905,924.869251041088,216.991020822759,367.829941016634,750,1.38462740109162,1.53369104279256,1.27309377645975,0.938013665872266,1.02210609101177,789.742227136805,736.9333047813,1161.28200836272,1531.48089330543,998.818827714196,0.930737963767447,0.82869524584402,0.688236349495677,0.614198466952046,0.720970624699615,1.93537168855855,2.44115588905472,4.05130803281063,1.42334904981595,1.62256608572281,511.762774780395,494.739788210249,515.763585338814,744.474356525315,552.391575881075,1697.81360308882,3469.5083483763,11848.779231839,8812.92477554191,3323.30559960295
100,0.215,0.825,0.257851105105913,0.163013034765382,717.370306956905,924.869251041088,216.991020822759,367.829941016634,750,0.797554900004139,1.63707896817129,0.756579659159806,0.844216342910387,1.27548446842522,2363.56745818433,496.782780295559,1418.24623461469,1953.72382517978,1110.12988209256,0.467770464784677,1.01862979249465,0.514753365468589,0.371793617799113,0.618352980889939,1.65596777686634,2.34414293049553,1.16629008439606,2.10922472159241,2.68837913231363,677.688037450635,373.60074060505,608.191710102035,626.375224554685,527.930562589864,63343.7230522169,881.962674072818,7409.84571113789,114162.443905142,18266.4886418815
